unique_id,metric,Grasynda(3),Grasynda(5),Grasynda(7),Grasynda(10),Grasynda(15),Grasynda(20),Grasynda(25),Grasynda(50),Grasynda(75),Grasynda(100),Original
ID1,mase,0.34403595,0.28366628,0.34507024,0.35712218,0.367896,0.31810212,0.36637068,0.35879642,0.3193611,0.3858503,0.36854434
ID10,mase,1.1447191,1.0401187,1.1222267,1.1004901,1.1527268,1.0996019,1.0509361,1.0733749,0.95435375,1.1142355,1.1412559
ID100,mase,0.59535456,0.56340885,0.5952724,0.542009,0.59389657,0.5864249,0.6243389,0.54793537,0.5384063,0.5975244,0.4665749
ID101,mase,0.6294146,0.66576666,0.6580155,0.5591521,0.58284813,0.58468866,0.58992773,0.5987409,0.5925788,0.56065637,0.6042297
ID102,mase,1.1372405,0.9805493,1.0067235,0.891081,1.1182868,1.0273434,1.0248611,1.0379369,0.9674141,0.9790501,0.8817993
ID103,mase,0.60234886,0.66270065,0.6281368,0.6078482,0.6056212,0.6274464,0.59063095,0.6195501,0.66684556,0.5901067,0.6166089
ID104,mase,0.87695587,0.9320296,0.8659986,0.8999397,0.8883437,0.89340705,0.8698591,0.7967735,0.8904138,0.9187939,0.9829882
ID105,mase,0.8238722,0.91133666,0.8240723,0.8878926,0.88042873,0.8724485,0.8202251,0.80144686,0.87062544,0.88292074,0.93665934
ID106,mase,0.29994065,0.3524284,0.3497651,0.31966427,0.31455266,0.3321311,0.3379886,0.3356231,0.31340727,0.3356029,0.3850903
ID107,mase,0.93099236,1.0811263,0.8979293,1.0440713,0.9940568,0.94432956,0.8983454,1.0059874,0.9335679,0.9573181,1.0479615
ID109,mase,1.0683894,1.1022353,1.0904597,1.095584,1.0837677,1.0561236,1.1022902,1.0996279,1.149552,1.1203232,1.1692525
ID11,mase,0.9096757,0.9730116,0.9931933,0.894939,0.89933544,0.9381844,0.9812959,0.9377478,0.87481487,0.9175401,0.82391685
ID110,mase,1.2593043,1.3589089,1.1744201,1.1930485,1.3351654,1.2171967,1.3365053,1.1960661,1.1955211,1.1430862,0.9636946
ID111,mase,2.6931095,2.5939894,2.6282809,2.6645145,2.5825698,2.631026,2.6063702,2.6253319,2.7135618,2.6736047,2.5094807
ID112,mase,0.68616444,0.7501536,0.70695865,0.71455586,0.6514156,0.7009661,0.679018,0.6867229,0.7057303,0.67424875,0.6329852
