unique_id,metric,Grasynda(3),Grasynda(5),Grasynda(7),Grasynda(10),Grasynda(15),Grasynda(20),Grasynda(25),Grasynda(50),Grasynda(75),Grasynda(100),Original
ID1,mase,0.4166422,0.44212425,0.43104306,0.41208762,0.48837963,0.47044262,0.48589337,0.42320734,0.40918592,0.44798496,0.31881326
ID10,mase,1.21292,1.1391996,1.1575899,1.0975913,1.122696,1.1432846,1.0242401,1.1502751,1.1325474,1.1231538,1.3314884
ID100,mase,0.5307043,0.60701585,0.50977886,0.5509944,0.5499442,0.5851908,0.5749731,0.61453074,0.52704394,0.60013276,0.58466285
ID101,mase,0.60045594,0.6647057,0.5640988,0.5450244,0.5827547,0.52620614,0.5736219,0.61722684,0.61538017,0.59156203,0.41134986
ID102,mase,0.88612056,0.96935195,0.89911336,1.0016491,0.96687734,0.8790819,1.0052284,0.99752146,0.9446182,0.9098083,0.97654974
ID103,mase,0.51069695,0.5394365,0.6035856,0.56783104,0.5936701,0.55245036,0.5509806,0.5575319,0.5529107,0.5490624,0.5499274
ID104,mase,0.8381787,0.87425256,0.85103345,0.93012667,0.97182304,0.9833103,0.92144,0.86636674,0.8880105,0.87302935,0.87040967
ID105,mase,0.7939313,0.8005592,0.78157383,0.8718354,0.9257551,0.9350519,0.85864687,0.81124747,0.86264336,0.8223691,0.83673775
ID106,mase,0.331665,0.34430218,0.35730037,0.35986692,0.34616205,0.39783427,0.38579252,0.35945797,0.33478838,0.38180175,0.35840017
ID107,mase,1.0192493,1.1511859,1.0477809,1.1350129,1.1607894,1.1261201,1.1394302,1.0585568,1.1502229,1.0424588,1.0927392
ID109,mase,1.1190387,1.139719,1.086388,1.1630454,1.2142316,1.2385079,1.1293368,1.1483508,1.1932805,1.2037396,1.2653632
ID11,mase,0.93930113,0.9612225,1.0507985,0.94884443,0.9534089,0.93446696,0.93512577,0.9977546,1.0105343,0.944817,0.8540383
ID110,mase,1.2419335,1.5273409,1.2872306,1.3028461,1.4869745,1.2344402,1.5372461,1.2949885,1.3858513,1.3770244,1.1247792
ID111,mase,2.7960584,2.7065322,2.7654958,2.6528091,2.7772374,2.8907275,2.8163068,2.833759,2.7657013,2.8209925,2.7412155
ID112,mase,0.6441797,0.7340971,0.63749164,0.84896666,0.7315672,0.6972965,0.73700756,0.72502613,0.71774125,0.73881996,0.48887056
ID113,mase,0.5148338,0.58709145,0.5022463,0.68240607,0.58249295,0.5603973,0.60675013,0.57257104,0.5899996,0.59168476,0.38086107
ID114,mase,0.75375336,0.7707229,0.7363884,0.8368184,0.7876528,0.8081196,0.79079235,0.76754045,0.7976277,0.8145878,0.6728622
ID115,mase,0.30428603,0.3195265,0.30592984,0.34004164,0.33287996,0.2957529,0.3114968,0.3131473,0.32665938,0.34207138,0.25643224
ID116,mase,0.63252014,0.76975495,0.7905184,0.72418964,0.79062927,0.73816514,0.70679003,0.74139327,0.6486105,0.7407058,0.7611907
ID117,mase,1.0557667,1.1172154,1.1224457,1.1637666,1.273382,1.0965338,1.0869507,1.1515261,1.0487176,1.1899397,1.0855309
ID118,mase,0.69617563,0.7072425,0.62481517,0.66424906,0.70835084,0.7189763,0.6607621,0.71061444,0.75449663,0.66947126,0.53729624
ID119,mase,0.55648774,0.5940126,0.48736107,0.715605,0.59541434,0.579547,0.6139411,0.59987086,0.59879696,0.6174042,0.41302106
ID12,mase,1.0077685,0.9889457,0.9440861,1.0278041,0.90966576,0.9246255,1.0271122,0.92260146,0.96733916,0.8691408,0.9087712
ID120,mase,0.29887453,0.29731986,0.23600902,0.3107613,0.27623996,0.27437997,0.29990533,0.29444623,0.266134,0.31968465,0.20092808
ID121,mase,0.43602082,0.47028828,0.42436597,0.5634474,0.45757258,0.43584916,0.4989798,0.43561512,0.45487666,0.501018,0.2640102
ID122,mase,0.485123,0.4733692,0.46786818,0.6323149,0.57148314,0.46465534,0.52325463,0.5097645,0.4625784,0.5535883,0.42213106
ID123,mase,0.43602082,0.47028828,0.42436597,0.5634474,0.45757258,0.43584916,0.4989798,0.43561512,0.45487666,0.501018,0.2640102
ID124,mase,0.28789333,0.27181253,0.25226003,0.32451534,0.31331706,0.29999137,0.32655463,0.28449634,0.34085253,0.3506337,0.33220175
ID125,mase,0.75367326,0.83317375,0.82546675,0.95482755,0.8810997,0.7717307,0.84154755,0.8321724,0.8482572,0.810699,0.61750484
ID126,mase,0.39915565,0.34187397,0.29218718,0.4118434,0.4297365,0.32704467,0.3512791,0.45372728,0.41096836,0.43723103,0.25942072
ID127,mase,0.6953753,0.6776369,0.65354776,0.69241065,0.703119,0.6347789,0.69858265,0.7230909,0.6595855,0.7526166,0.57645583
ID128,mase,0.44879317,0.461413,0.41486773,0.543754,0.44268262,0.4363942,0.45952064,0.44888484,0.44402462,0.47584832,0.30082688
ID129,mase,0.46324208,0.48301858,0.42063135,0.47477353,0.48893416,0.46832773,0.48978248,0.46607462,0.43000436,0.566396,0.33467707
ID13,mase,2.9859335,2.938879,3.114004,2.6628299,3.140563,3.0888016,2.8729272,3.197713,3.204908,3.0865715,2.9153123
ID130,mase,0.3705047,0.36023736,0.36943972,0.37054735,0.32301947,0.40817535,0.4010378,0.2993501,0.47922763,0.37094295,0.45969334
ID131,mase,0.6667996,0.6965317,0.6818663,0.7199162,0.76911855,0.7133891,0.6987598,0.7249103,0.77691615,0.7160932,0.76807845
ID135,mase,0.7172627,0.8616269,0.6928605,0.6349051,0.75615895,1.0841482,0.63324517,1.010365,0.96189815,0.77184147,0.77584064
ID136,mase,0.82567483,0.78289145,0.75689006,0.7961639,0.8252686,0.8111016,0.7714132,0.804654,0.84743,0.8453663,0.91336983
ID137,mase,1.8446664,1.8670025,1.9424767,1.6887894,2.0196736,1.7573475,1.8947947,1.8624572,1.7977653,1.9178671,1.9054426
ID138,mase,0.547629,0.45587823,0.5394142,0.5569108,0.5620164,0.50037605,0.68691754,0.5377884,0.5293232,0.55419314,0.7186466
ID139,mase,0.77546775,0.70795166,0.7797743,0.79767036,0.83570987,0.68099433,0.8760074,0.7290234,0.69414717,0.68857956,0.71555257
ID14,mase,2.06653,2.3034708,2.1415355,2.0659409,2.1684535,2.1864104,2.1862118,2.0434585,2.0781696,2.1158748,2.0813339
ID140,mase,2.1529849,2.4117022,2.405974,2.2797763,2.2237422,2.2947469,2.2010436,2.3429213,2.195797,2.4693527,2.3778427
ID141,mase,0.65290046,0.70958275,0.5879544,0.71662146,0.6209034,0.6244261,0.63627666,0.65631145,0.6820052,0.6194162,0.49389207
ID142,mase,0.6132689,0.59174377,0.6016676,0.5945339,0.621733,0.6340808,0.5729027,0.62963283,0.68628716,0.620932,0.60039824
ID143,mase,1.3441814,1.449224,1.379397,1.3644012,1.3742305,1.3703291,1.4844307,1.3578997,1.4449763,1.3889982,1.1414868
ID144,mase,0.6076991,0.617399,0.56604844,0.6033789,0.764355,0.6048336,0.72629243,0.6890711,0.78707814,0.6810007,0.7073332
ID145,mase,1.4373429,1.4962369,1.421702,1.4150604,1.4623394,1.4787663,1.46345,1.4417924,1.3895733,1.4106331,1.4193537
ID146,mase,1.0559366,0.9583483,0.9956865,1.0922706,1.1435378,1.0455136,1.0400409,1.0186408,0.98617095,0.9779068,0.99906427
ID148,mase,0.5889403,0.57589346,0.51237154,0.5698936,0.57017976,0.55318195,0.52281606,0.5502255,0.59655726,0.578975,0.5846441
ID149,mase,0.7873807,0.8267343,0.8011564,0.7771742,0.75806653,0.79980344,0.8680097,0.81186515,0.79273796,0.8431964,0.8640531
ID15,mase,0.45564625,0.5498192,0.46624562,0.49612284,0.4651037,0.46204302,0.4141091,0.45072225,0.460746,0.49952927,0.40645498
ID150,mase,0.7448314,0.7595162,0.7255017,0.7909267,0.77651286,0.7497368,0.76649684,0.7613553,0.7297067,0.7314802,0.79845196
ID151,mase,1.432188,1.255199,1.2900565,1.3759819,1.2278519,1.3075995,1.3904611,1.3448573,1.4837356,1.1801462,1.4466286
ID152,mase,0.6434045,0.65646946,0.6882711,0.636716,0.683772,0.6338149,0.68390703,0.6289707,0.64511573,0.68496907,0.56752205
ID153,mase,0.7046199,0.699302,0.7119768,0.66397667,0.7027045,0.7125984,0.70496213,0.70178735,0.74360913,0.6732383,0.806966
ID154,mase,0.13816892,0.13630453,0.13378978,0.1221744,0.13135833,0.11814097,0.15173972,0.13824156,0.1468525,0.13467579,0.19738199
ID155,mase,0.20983481,0.18435247,0.18704842,0.19839327,0.18608946,0.17509095,0.19360283,0.21303424,0.20656537,0.20461318,0.20867153
ID156,mase,0.56079215,0.642885,0.55650157,0.6210604,0.5928151,0.5641506,0.6058551,0.6266975,0.625344,0.5580097,0.7168604
ID157,mase,0.6568739,0.6153335,0.71083635,0.6340791,0.6502504,0.7079245,0.65437186,0.6588138,0.6912599,0.6617119,0.8071594
ID158,mase,0.43774825,0.41908583,0.42578465,0.46758264,0.42278248,0.45087108,0.4236101,0.4190917,0.4307958,0.43833795,0.44159895
ID159,mase,1.0954823,1.1207922,1.1502895,1.0980532,1.107147,1.1285583,1.0533056,1.12245,1.0979296,1.0764333,0.9999152
ID16,mase,0.70929706,0.7455458,0.70302594,0.8171982,0.7817374,0.68695927,0.85685784,0.71077186,0.76458895,0.81495017,0.8059468
ID160,mase,0.60997933,0.5132116,0.58866924,0.6262957,0.6622909,0.6126044,0.6058975,0.5861633,0.5182185,0.6272702,0.8575581
ID161,mase,0.9302591,0.96027017,0.9177602,0.9105293,0.9316295,1.0262595,0.9164432,0.9315732,0.9623867,0.98089564,0.953997
ID162,mase,0.44838765,0.4416343,0.42445916,0.470819,0.4182887,0.47141704,0.5061731,0.4290811,0.41750592,0.41403237,0.5541328
ID163,mase,1.2888516,1.3513228,1.35485,1.3249472,1.2162431,1.3596153,1.396005,1.303645,1.3488892,1.3373799,1.2090539
ID164,mase,0.95799786,1.01245,0.99735063,0.95376235,0.9310592,0.988529,0.95404357,0.9916896,0.9524494,0.9725405,0.9710095
ID166,mase,0.77959627,0.78382593,0.83120495,0.832148,0.8623121,0.78697807,0.8650345,0.90583813,0.78631514,0.7974986,0.7289974
ID17,mase,0.64182717,0.76997954,0.71134466,0.72433436,0.61858034,0.6230001,0.6962193,0.6432397,0.6299988,0.6939301,0.5839668
ID170,mase,0.6882566,0.69585794,0.7538911,0.6898821,0.7251722,0.74015,0.67791575,0.676891,0.7246803,0.70913374,0.7063241
ID171,mase,0.5206618,0.559172,0.5642194,0.53089684,0.55273485,0.5560651,0.55123365,0.56382567,0.55369896,0.56371,0.5565812
ID173,mase,0.4151394,0.41708207,0.43484142,0.45172834,0.4420616,0.46865588,0.4325613,0.41769397,0.4244191,0.43894988,0.43258643
ID174,mase,0.9040171,0.96757394,0.90412503,0.97530776,0.92178786,0.94591826,0.8702035,0.9405325,0.9110706,0.9837563,0.942508
ID175,mase,0.33874702,0.3440893,0.35276127,0.3384431,0.33244383,0.33791465,0.32764915,0.32665214,0.3341473,0.3318539,0.38090894
ID176,mase,0.31167293,0.28721276,0.29236966,0.28270525,0.27617872,0.27670795,0.30777717,0.27025095,0.28732324,0.2671066,0.3150089
ID177,mase,0.91943216,0.9422955,0.9291014,0.8815252,0.9340824,0.88924676,0.9054018,0.91379404,0.90131253,0.87995774,0.951969
ID178,mase,1.0552784,1.0272335,1.0038404,0.996014,1.0586874,0.96422863,1.020457,0.9440543,1.0516031,1.0143394,1.0950887
ID179,mase,1.1616462,1.2419205,1.1516817,1.2077608,1.2182194,1.1079684,1.2120206,1.1946193,1.1897461,1.1865002,1.2079725
ID18,mase,0.88270265,0.9092931,0.8520249,0.914816,0.912081,0.9354209,0.871989,0.87302196,0.842384,0.7888693,0.74844027
ID180,mase,2.6127877,2.6957262,2.5437808,2.696033,2.9173377,2.7340853,2.8269506,2.3593714,2.2098787,2.6203446,2.0491138
ID181,mase,1.1040423,1.1127036,1.1695015,1.1226264,1.1430802,1.1149958,1.1534745,1.1419345,1.1615435,1.1254587,1.2688262
ID182,mase,0.5795991,0.48248866,0.5709056,0.58942276,0.59482664,0.5295882,0.7270221,0.5691835,0.5602256,0.5865457,0.7606022
ID183,mase,2.0607526,2.014321,1.943232,2.020534,2.112053,1.9658617,2.1019866,2.1554496,2.007481,2.0020914,1.9772276
ID184,mase,0.67376524,0.6133754,0.77014023,0.7191617,0.54711735,0.6370097,0.5387809,0.66366726,0.6066805,0.48781195,0.5959985
ID185,mase,1.5373034,1.5999398,1.397507,1.2772758,1.5265793,1.3340458,1.2186569,1.5192238,1.5814283,1.3932135,1.7274747
ID186,mase,1.4767824,0.9941471,0.6829779,1.0000013,0.73971224,1.022017,0.87955236,0.73714095,0.66347086,0.6118263,0.6995752
ID187,mase,0.3404225,0.34216762,0.323991,0.32967815,0.30469918,0.33979505,0.32915652,0.33452037,0.33900127,0.3138164,0.39211333
ID188,mase,0.73382485,0.7863143,0.80356485,0.75350577,0.76860255,0.8341335,0.8137323,0.83222735,0.8316541,0.7903469,0.67070276
ID189,mase,0.5660695,0.6612745,0.53433,0.5247879,0.53298974,0.5342558,0.53604764,0.635581,0.53805584,0.5487843,0.4756284
ID19,mase,1.2635564,1.475427,1.2542193,1.3060405,1.4627479,1.3433555,1.3558596,1.3123946,1.2607108,1.1408528,0.8913244
ID190,mase,2.178506,2.352549,2.4499462,2.4441025,2.7323499,2.4973278,2.7271373,2.3840532,2.5150845,2.5056083,2.217379
ID191,mase,0.35705638,0.43238363,0.3752625,0.41314048,0.44641757,0.3874767,0.49200943,0.40432853,0.38722768,0.42637056,0.3703836
ID192,mase,0.65344816,0.7657067,0.7767237,0.7699365,0.66298556,0.64382863,0.62101877,0.5480111,0.66938543,0.547092,0.50218457
ID193,mase,0.8588182,0.89400136,0.9665681,0.8532962,0.91400087,0.9428965,0.91527843,0.9234033,0.9713817,0.9058116,0.88079154
ID194,mase,0.87536633,0.8695584,0.7604784,0.8848419,0.79465777,0.8793283,0.7668167,0.8442709,0.9230927,0.93684417,0.76280004
ID195,mase,1.371327,1.3750523,1.3956021,1.3712485,1.3814217,1.4063383,1.4660977,1.4376138,1.4096262,1.4007392,1.4009228
ID196,mase,0.5747738,0.5662771,0.5915307,0.65806895,0.6005931,0.5563151,0.61502004,0.595862,0.5976,0.5409048,0.5610444
ID197,mase,1.3961484,1.3729452,1.3989753,1.3814297,1.3707736,1.4105786,1.4056394,1.4520686,1.3894854,1.3701619,1.4782299
ID198,mase,1.4171617,1.4465533,1.4061842,1.3588938,1.422292,1.3975233,1.4227282,1.4196208,1.3523846,1.445007,1.3844694
ID199,mase,0.8084872,0.81123674,0.726152,0.8210595,0.7838588,0.73902816,0.80907285,0.7812301,0.7516427,0.783961,0.8112553
ID2,mase,1.124382,1.098041,1.1303304,1.1302164,1.0545398,1.1011728,1.0769403,1.0649433,1.1465479,1.0654551,1.1262933
ID20,mase,1.7053282,2.1664488,1.7905822,1.9599478,2.1172202,1.9239264,1.9532803,1.965582,1.7315524,1.7310625,1.2659223
ID200,mase,0.79712725,0.8241729,0.96772796,0.8155587,0.79000026,0.79078764,0.8363832,0.7997574,0.8894244,0.7984201,0.82192016
ID201,mase,1.6864718,1.648136,1.6154488,1.6892643,1.6109345,1.6346703,1.6401132,1.6325682,1.6991413,1.6176137,1.6737891
ID203,mase,1.1373888,0.9231194,0.9044205,1.029437,1.2401361,1.1573461,1.1341376,1.1791018,1.2637146,1.0379871,1.2705674
ID204,mase,1.4040546,1.3873279,1.3897387,1.4972575,1.4039111,1.4405559,1.4022653,1.3927749,1.4434937,1.440699,1.5041336
ID205,mase,0.4466961,0.43852052,0.43543047,0.4305718,0.4209543,0.46203184,0.4663871,0.4152525,0.48701665,0.5004225,0.47904712
ID206,mase,1.4639236,1.4309466,1.4762095,1.6026598,1.5408696,1.7527195,1.8557708,1.3767858,1.207982,1.3694952,1.6215793
ID207,mase,0.7155109,0.5751547,0.7245679,0.65551484,0.6997437,0.5458159,0.6781112,0.709499,0.52057713,0.6504896,0.53920853
ID208,mase,0.50709385,0.4200485,0.40281558,0.45085835,0.4715756,0.44074076,0.51809955,0.39622796,0.44862565,0.4096966,0.35504973
ID209,mase,0.58216536,0.6858367,0.69134307,0.57251555,0.8152079,0.6337235,0.6861532,0.682007,0.6105435,0.69845873,0.6243401
ID21,mase,0.86067337,1.0548831,0.85016835,0.99272674,1.0229025,0.864911,0.8616012,0.9652817,0.85890245,0.8380626,0.86278397
ID210,mase,0.45285285,0.4792402,0.55650693,0.40875426,0.704205,0.523324,0.5802292,0.5065453,0.49307925,0.4807196,0.32061917
ID211,mase,0.9464017,0.83774143,0.79498535,0.83076674,0.79107744,0.8584149,0.82850325,0.9167283,0.83797085,0.9154484,0.9941154
ID212,mase,0.66313714,0.65968573,0.6698257,0.7069118,0.7977016,0.6683247,0.56299406,0.6251125,0.6365427,0.6200294,0.6752833
ID213,mase,4.2262993,4.125245,4.144589,4.2257695,4.184869,4.153642,4.254759,4.41726,4.187541,4.1856413,3.9717083
ID214,mase,1.0122532,1.068117,1.0362562,1.0168859,1.000219,1.043903,1.0723642,1.0592802,1.0934453,1.0335087,1.0410255
ID215,mase,0.6249009,0.73456687,0.7428924,0.6615743,0.63014495,0.6023725,0.5663448,0.63339466,0.648352,0.7020581,0.46506658
ID216,mase,0.919914,1.1142726,1.042816,1.0031395,1.0256163,0.9229845,1.3187424,0.99656695,0.869215,1.0135707,0.9360505
ID217,mase,1.0220442,1.048285,1.0107758,0.95928866,1.0205932,0.9875712,1.046195,0.933774,0.9944294,0.9920058,1.0600578
ID218,mase,0.8544134,0.820453,0.79652476,0.876062,0.86369735,0.84492636,0.8296513,0.8149422,0.82978934,0.8229278,0.8391219
ID219,mase,1.1186273,1.1060208,1.280456,1.2263203,1.1949188,1.0336567,1.1924237,1.2318296,1.169854,1.1255317,1.1786281
ID22,mase,0.5410227,0.53156966,0.5336894,0.5403544,0.5488643,0.530153,0.5633252,0.5507989,0.54739094,0.5150238,0.5386923
ID23,mase,0.417028,0.40305468,0.4330643,0.42126012,0.413071,0.4209249,0.42768842,0.435095,0.42539886,0.4133528,0.48348352
ID231,mase,0.83790976,0.79298276,0.7193519,0.8314288,0.836052,0.92520505,0.8126686,0.89494795,0.8700763,0.95796895,0.987476
ID232,mase,0.9282158,0.98672044,1.1127876,0.9131398,1.0367484,0.95664555,0.91383404,0.9467168,0.96947527,0.9750963,1.1085718
