unique_id,metric,Grasynda(3),Grasynda(5),Grasynda(7),Grasynda(10),Grasynda(15),Grasynda(20),Grasynda(25),Grasynda(50),Grasynda(75),Grasynda(100),Original
ID1,mase,0.43663448,0.2707276,0.3948682,0.4124606,0.4174102,0.27414298,0.28697228,0.3091744,0.26805726,0.24973902,0.3302392
ID10,mase,1.2084308,1.0157199,1.0752115,1.1218054,1.1844447,1.159831,1.1534343,1.1453301,1.2031072,1.2640842,1.2492307
ID100,mase,0.5305602,0.5403305,0.50316435,0.5980547,0.5615537,0.56748325,0.6127205,0.58455014,0.5769171,0.53358513,0.53145957
ID101,mase,0.6349928,0.60907155,0.5666838,0.5694267,0.6750919,0.6058528,0.58180434,0.616508,0.61043566,0.6152699,0.7067973
ID102,mase,0.94973814,0.8314037,1.0504284,0.86374056,0.8372003,0.84146583,0.8968838,0.797891,0.8714357,0.87072706,0.69508547
ID103,mase,0.632558,0.5753481,0.72506106,0.65927577,0.6439088,0.63750756,0.63687944,0.67333496,0.64142793,0.6167165,0.69371986
ID104,mase,0.80925614,0.9379415,0.90453506,0.86584395,0.8679388,0.99879456,0.93818897,0.8596125,0.95374036,0.91302824,0.9641608
ID105,mase,0.8267969,0.89748514,0.8394206,0.80735105,0.8051247,0.92259115,0.8555229,0.7726303,0.8934707,0.84865177,0.90368295
ID106,mase,0.38257495,0.3341601,0.36598572,0.3240858,0.32164055,0.3364104,0.3354634,0.3627248,0.4180944,0.34789687,0.35243565
ID107,mase,1.0534664,1.0319079,1.0082836,0.9011185,0.8875349,0.9560075,0.9362608,0.8741384,1.0021673,1.0763254,0.9844774
ID109,mase,1.1822968,1.088217,1.1282325,1.1295693,1.0917983,1.198426,1.1440855,1.0561167,1.1622957,1.0608826,1.0969228
ID11,mase,0.9564818,0.91393936,0.959504,0.93378544,0.9276818,0.88869745,0.88466626,0.91089326,0.9391904,0.9132982,0.868599
ID110,mase,1.612651,1.2906146,1.3887395,1.4060016,1.3381555,1.16645,1.378337,1.4276575,1.3942353,1.4872253,1.3381354
ID111,mase,3.030469,2.77801,2.797888,2.8287823,2.852554,2.6150053,2.7213109,2.6136575,2.7926283,3.0163553,2.9652228
ID112,mase,0.6930093,0.79587036,0.7197111,0.7033416,0.70939064,0.63417524,0.67895037,0.77116525,0.63589525,0.6994306,0.7835475
ID113,mase,0.5364983,0.63742375,0.56387174,0.55706686,0.53737736,0.4964992,0.5222259,0.60159755,0.49387264,0.54838777,0.6053926
ID114,mase,0.76573676,0.7771849,0.8315659,0.80132574,0.8017647,0.75464946,0.8233281,0.81512004,0.7869384,0.78969955,0.7506023
