unique_id,metric,Grasynda(3),Grasynda(5),Grasynda(7),Grasynda(10),Grasynda(15),Grasynda(20),Grasynda(25),Grasynda(50),Grasynda(75),Grasynda(100),Original
ID0,mase,0.64080316,0.5676076,0.5294986,0.50177294,0.6434703,0.57680255,0.5685762,0.56616575,0.61053026,0.5161046,0.48192587
ID1,mase,0.9722087,0.74576485,0.8091134,0.81715876,0.99799085,1.0768613,0.7919649,0.8394022,0.8857172,0.82535976,0.9273983
ID10,mase,1.5300608,1.4984561,1.5121832,1.5226792,1.4678353,1.5714455,1.4608463,1.5170146,1.4407896,1.5018431,1.4586909
ID101,mase,1.3380843,1.200771,1.2538403,1.212372,1.1684726,1.2345419,1.3361123,1.3147296,1.2305799,1.3090832,1.2280293
ID102,mase,0.4417342,0.5078029,0.5073493,0.47881687,0.5031006,0.47264352,0.463902,0.40068674,0.47580454,0.41272786,0.48997512
ID103,mase,0.454618,0.53355116,0.4778642,0.5415039,0.5959731,0.50321317,0.6028372,0.42934182,0.5664931,0.64333284,0.48689973
ID104,mase,0.34415525,0.4190952,0.37882566,0.36601508,0.35531956,0.3368369,0.39137903,0.4339568,0.38596028,0.40361282,0.42053437
ID105,mase,0.22820419,0.26780927,0.25201085,0.3852173,0.2517042,0.23457286,0.2859367,0.30681354,0.2100383,0.25499088,0.19142617
ID107,mase,1.4552175,1.4532021,1.4369144,1.449289,1.420366,1.461084,1.4660251,1.433262,1.410323,1.3851999,1.3383306
ID108,mase,0.9885892,1.0628939,0.8876713,0.9859488,0.8406275,0.8733828,0.76357883,0.729239,0.86926734,0.8435888,0.924385
ID109,mase,4.5830746,4.6890283,4.5435677,4.4898367,4.671789,4.453152,4.5538306,4.4649653,4.496731,4.484751,4.472593
ID110,mase,0.32516372,0.334217,0.36250815,0.2754067,0.33961192,0.27733973,0.2631619,0.33396187,0.14371423,0.19021499,0.16520423
ID111,mase,0.497666,0.5843912,0.5197485,0.5191252,0.53845423,0.5561778,0.53002053,0.5241676,0.51777023,0.5257212,0.5175032
ID112,mase,0.30363664,0.31790227,0.27398,0.3192616,0.4189955,0.30645826,0.3037934,0.3596589,0.34144384,0.3743811,0.45964277
ID113,mase,0.81087184,0.86361206,0.82156664,0.8789925,0.70991665,0.8129314,0.8322711,0.83891356,0.8304723,0.83262813,0.78736407
ID114,mase,1.4868354,1.280079,1.3969884,1.2513973,1.5552672,1.6669436,1.5231528,1.4144253,1.4005661,1.5180624,1.4218739
ID115,mase,1.0806692,1.1473618,1.3001022,1.328187,1.5419171,1.2105796,1.5256058,1.2326107,1.3107214,1.6771618,1.4929014
ID116,mase,0.15481922,0.15163548,0.13681436,0.15196884,0.15103003,0.15605281,0.15295184,0.14922161,0.16603711,0.13547306,0.14365008
ID117,mase,0.2707918,0.26881114,0.27845535,0.27773598,0.267156,0.26869062,0.2734947,0.28326702,0.27810612,0.27818012,0.2563748
ID118,mase,0.21715708,0.21154794,0.20763728,0.21153827,0.20573315,0.21925315,0.22898023,0.19639158,0.19560283,0.19875379,0.1924809
ID119,mase,0.8074297,0.7706025,0.812984,0.812136,0.8114351,0.83224666,0.79452026,0.8056564,0.78915364,0.83879066,0.7444443
ID12,mase,0.047586694,0.04366473,0.047679976,0.056929763,0.050300207,0.048229538,0.051991343,0.052143354,0.05117576,0.04690856,0.055468127
ID120,mase,0.38808557,0.3498297,0.39554465,0.34900466,0.23844196,0.3365938,0.34797436,0.3149174,0.29320607,0.29082862,0.17233357
ID121,mase,0.41594356,0.41981786,0.42739385,0.40736547,0.4174076,0.40686378,0.4203692,0.41056672,0.41950992,0.40258715,0.4116843
ID122,mase,0.36234295,0.37619725,0.36756337,0.37179992,0.34997165,0.3602406,0.35120472,0.3551921,0.36445087,0.3376975,0.4021872
ID123,mase,0.69540495,0.6784827,0.68206084,0.68073475,0.6387655,0.6823323,0.696625,0.6621132,0.6298096,0.6371115,0.5818038
ID124,mase,0.33250207,0.27061525,0.31207544,0.2760486,0.30165935,0.2741555,0.310356,0.29296407,0.32481462,0.28171712,0.29804116
ID125,mase,0.84063166,0.60766363,0.6237114,0.8403994,0.30733278,0.5050177,0.4521628,0.38527125,0.77619386,0.50018,0.5993902
ID126,mase,1.5096275,1.5535729,1.500299,1.4520048,1.3921896,1.4485431,1.4876184,1.4688809,1.489764,1.4111602,1.466606
ID127,mase,0.39262006,0.3630519,0.3733833,0.36706883,0.35801476,0.36409545,0.38940224,0.38703248,0.37313253,0.37509423,0.38780823
ID128,mase,0.06363382,0.059229553,0.06802432,0.06829322,0.049172882,0.06402294,0.063178614,0.06366135,0.06502053,0.06510497,0.021925893
ID129,mase,0.41270286,0.4358657,0.40155938,0.42042443,0.44095758,0.45002908,0.4485071,0.4173597,0.42790383,0.40370145,0.3834274
ID13,mase,1.1436011,1.1514114,1.1087841,1.2223552,1.1066294,1.167321,1.2118086,1.2188993,1.1463585,1.1668714,1.3119686
ID130,mase,0.20826516,0.19213516,0.2039282,0.19275554,0.18437712,0.17807838,0.19384894,0.2114332,0.2076117,0.19280657,0.16128631
ID131,mase,0.020738753,0.014360187,0.018743346,0.015181139,0.008552663,0.0088414205,0.013416221,0.020118505,0.02043575,0.013927698,0.013266016
ID132,mase,0.1401018,0.13010645,0.13301829,0.14258039,0.11824891,0.14236201,0.11367568,0.12926108,0.11107968,0.11825361,0.13877739
ID133,mase,0.71888876,0.8118712,0.7219951,0.7682683,0.8024118,0.73647326,0.733904,0.7614886,0.7758751,0.70743275,0.66198105
ID134,mase,1.767413,1.7108574,1.7581493,1.7193937,1.5770832,1.6984583,1.7158319,1.671871,1.6180935,1.6266447,1.4745136
ID135,mase,0.046811216,0.004970858,0.049913052,0.06525193,0.00603825,0.08419814,0.0735226,0.06317572,0.014601793,0.01844614,0.032015797
ID136,mase,0.49302644,0.5937087,0.5843603,0.5393178,0.51246303,0.56445026,0.5062899,0.5491089,0.48427525,0.61388415,0.5614018
ID137,mase,1.0028594,1.032898,1.0700108,1.0614097,0.95640105,1.1440107,1.150889,1.1083524,1.0453736,1.0663795,1.0056622
ID138,mase,0.33850628,0.32431084,0.33411902,0.32335874,0.3220357,0.30786768,0.32918864,0.34514815,0.34168783,0.3263727,0.29718128
ID139,mase,1.5235685,1.5516968,1.5146805,1.4656767,1.548566,1.536839,1.509242,1.5024282,1.4980779,1.5050167,1.4734617
ID14,mase,0.72999084,0.8227806,0.7799873,0.755852,0.8071178,0.7727998,0.7951538,0.81668,0.7617409,0.84171975,0.8720056
ID140,mase,2.294857,2.42922,2.5453398,2.5754437,2.4928813,2.409573,2.5484471,2.4269795,2.4371414,2.556422,2.584192
ID141,mase,2.1285613,2.302386,2.253428,2.4358983,2.3150723,2.2062693,2.3407395,2.023664,2.2748775,2.4374676,2.2347608
ID142,mase,0.21278745,0.16552801,0.24891159,0.24415879,0.25681087,0.13844885,0.11051593,0.16994347,0.18269934,0.23388375,0.30627477
ID143,mase,1.1258627,1.0757227,1.1355541,1.1315296,1.1342465,1.1533405,1.1154499,1.1301647,1.0977328,1.171023,1.0442932
ID144,mase,1.7246299,1.6932722,1.6725074,1.7259127,1.672137,1.706282,1.6733147,1.6706022,1.7421783,1.644445,1.6980711
ID145,mase,0.37567452,0.40428248,0.36595756,0.35332772,0.36547393,0.35296825,0.3704584,0.41182593,0.3569336,0.39060017,0.36924285
ID146,mase,0.48569515,0.58620346,0.5768712,0.53190655,0.5050982,0.5569956,0.4989357,0.54168075,0.4769591,0.60634404,0.5539524
ID147,mase,0.43208355,0.40852344,0.429527,0.39097607,0.42122623,0.44299453,0.44815052,0.44539765,0.4124583,0.44007063,0.4120817
ID148,mase,0.09603932,0.07673896,0.09298144,0.06793546,0.10316977,0.10208104,0.10365386,0.07976015,0.13825865,0.10486837,0.084483206
ID149,mase,0.11474318,0.11315539,0.12503102,0.12623644,0.11748448,0.13013762,0.168382,0.12720332,0.1458935,0.10608682,0.14198594
ID15,mase,1.5100689,1.4729716,1.4756953,1.5765454,1.4397136,1.5139644,1.4858279,1.4762449,1.5271735,1.4464495,1.4718622
ID150,mase,0.20523456,0.09321007,0.09141442,0.14827098,0.12789637,0.16468625,0.15314913,0.15647037,0.15164164,0.14391151,0.12697755
ID151,mase,0.23029944,0.17107496,0.16797999,0.19936667,0.20189902,0.2043471,0.19875816,0.20384145,0.20767862,0.2049347,0.19835596
ID152,mase,0.41015348,0.40098736,0.41067228,0.40628716,0.4013149,0.38655746,0.40074077,0.37711838,0.38680035,0.40360886,0.3858708
ID153,mase,0.51912504,1.1162201,0.7022295,1.4639657,0.40386182,0.20198092,0.6617297,0.8817708,0.51023895,0.5784044,1.152201
