method,model,dataset,p_value,mean_mase
DBA,KAN,M1-M,0.5881996949577241,0.9573385577040598
Jittering,KAN,M1-M,0.5844388795280553,0.9618402418589743
MagnitudeWarping,KAN,M1-M,0.4449669126006228,0.9787728303482907
QGTS,KAN,M1-M,0.1391895660014807,0.9410588260476496
QGTSE,KAN,M1-M,0.16956563006435355,0.9392121441352564
Scaling,KAN,M1-M,0.05106700141215496,0.9363758699978632
SeasonalMBB,KAN,M1-M,0.11656837709656141,0.9393098416175214
SeasonalNaive,KAN,M1-M,2.917855373205946e-22,1.2207040232264958
TSMixup,KAN,M1-M,0.9831023712731259,0.9551802509337607
TimeWarping,KAN,M1-M,0.3312845806987934,1.007584329818376
DBA,MLP,M1-M,0.0014451248623704803,0.9847222870668805
Jittering,MLP,M1-M,0.0019661456655347236,0.939455947456624
MagnitudeWarping,MLP,M1-M,0.18787411310883417,0.9685311857820512
QGTS,MLP,M1-M,0.012447572723108214,0.9481535687388889
QGTSE,MLP,M1-M,0.01533441044385827,0.9517928221047008
Scaling,MLP,M1-M,0.8131285878000748,0.9264344760128205
SeasonalMBB,MLP,M1-M,0.12373591851448446,0.9364466985299144
SeasonalNaive,MLP,M1-M,1.662104621233821e-24,1.2207040232264958
TSMixup,MLP,M1-M,0.0008792293812884991,0.9535331725450854
TimeWarping,MLP,M1-M,0.21750097900487553,0.977368821432265
DBA,NHITS,M1-M,0.024051049794456537,0.9475667268282051
Jittering,NHITS,M1-M,0.7223865411500254,0.9696561677574786
MagnitudeWarping,NHITS,M1-M,0.8088905054024462,0.980742230880342
QGTS,NHITS,M1-M,0.053851561214856354,0.944872042715812
QGTSE,NHITS,M1-M,0.0006297679596356406,0.9415339634348291
Scaling,NHITS,M1-M,0.03640797582504875,0.9476538128470084
SeasonalMBB,NHITS,M1-M,0.3360673411324575,0.9520234617771368
SeasonalNaive,NHITS,M1-M,2.0428694877787248e-21,1.2207040232264958
TSMixup,NHITS,M1-M,0.5238394201097065,0.9779001691675213
TimeWarping,NHITS,M1-M,0.5743875275356144,0.9771539949764957
DBA,KAN,M1-Q,0.14415871986928544,1.0431234432947976
Jittering,KAN,M1-Q,0.5120907557265091,1.012992112768786
MagnitudeWarping,KAN,M1-Q,0.0025257325434278016,0.9661070520231215
QGTS,KAN,M1-Q,0.025314440276282015,1.021647018803468
QGTSE,KAN,M1-Q,0.06236634152768014,1.02443898649711
Scaling,KAN,M1-Q,0.17273550741721555,1.0297009387109828
SeasonalMBB,KAN,M1-Q,0.8136595131337385,1.0157502450982663
SeasonalNaive,KAN,M1-Q,9.674105492772502e-12,1.6469730302312136
TSMixup,KAN,M1-Q,0.0013931098040144928,1.04384424133526
TimeWarping,KAN,M1-Q,0.289695526504436,1.0707688655260115
DBA,MLP,M1-Q,0.6585925765458638,1.0640840125375723
Jittering,MLP,M1-Q,0.0003501930002179351,1.0336294142676299
MagnitudeWarping,MLP,M1-Q,1.0359613355599876e-06,0.9956567424046242
QGTS,MLP,M1-Q,0.046479803848858886,1.0744602918208093
QGTSE,MLP,M1-Q,0.060890069662602166,1.0812285033583815
Scaling,MLP,M1-Q,0.14667316342452633,1.040346252653179
SeasonalMBB,MLP,M1-Q,0.032884098465030084,1.0361059952312137
SeasonalNaive,MLP,M1-Q,2.345515400743104e-10,1.6469730302312136
TSMixup,MLP,M1-Q,0.08913557228889657,1.0619511788439306
TimeWarping,MLP,M1-Q,0.7669705364302067,1.076282900468208
DBA,NHITS,M1-Q,0.0014991214003373299,1.0935261348809249
Jittering,NHITS,M1-Q,0.6195937901979542,1.0358942784913294
MagnitudeWarping,NHITS,M1-Q,4.200113060676805e-06,0.9737933294682081
QGTS,NHITS,M1-Q,0.37317845192336396,1.034088016254335
QGTSE,NHITS,M1-Q,0.2021146741905846,1.0207603528786129
Scaling,NHITS,M1-Q,0.40745112456588195,1.0389149536936415
SeasonalMBB,NHITS,M1-Q,0.7565745529059821,1.0288578827745665
SeasonalNaive,NHITS,M1-Q,9.401350162101697e-11,1.6469730302312136
TSMixup,NHITS,M1-Q,0.3278507605129951,1.0486608640635837
TimeWarping,NHITS,M1-Q,0.8598294429202264,1.0654681768265897
DBA,KAN,M3-M,0.1369313278610059,0.7765977518452368
Jittering,KAN,M3-M,0.5348569503236202,0.7827955361029033
MagnitudeWarping,KAN,M3-M,0.004742830024932926,0.7955419568526758
QGTS,KAN,M3-M,0.18257988796151758,0.7791383696960287
QGTSE,KAN,M3-M,0.05147647204822355,0.7749662848793443
Scaling,KAN,M3-M,0.008299003994215346,0.7970653151501682
SeasonalMBB,KAN,M3-M,0.005351477710316387,0.7724811667165139
SeasonalNaive,KAN,M3-M,6.752368175850131e-54,1.0910284651273285
TSMixup,KAN,M3-M,0.005050840231564138,0.7754195751906754
TimeWarping,KAN,M3-M,0.07388032815151008,0.7983931184979393
DBA,MLP,M3-M,0.34944633345251086,0.7774253983870526
Jittering,MLP,M3-M,0.04509962295724926,0.7596792817926533
MagnitudeWarping,MLP,M3-M,0.5707304354225577,0.7795885471036282
QGTS,MLP,M3-M,0.301188274229629,0.7681287116275882
QGTSE,MLP,M3-M,0.2552110749283134,0.7650088404320408
Scaling,MLP,M3-M,0.8760369312933197,0.7666786626965855
SeasonalMBB,MLP,M3-M,0.029034990255435808,0.7654344269441619
SeasonalNaive,MLP,M3-M,7.1589207761511385e-56,1.0910284651273285
TSMixup,MLP,M3-M,0.0846957516281054,0.761206059878142
TimeWarping,MLP,M3-M,0.19985005502179765,0.757315906783205
DBA,NHITS,M3-M,0.5721888814702398,0.7786701717171133
Jittering,NHITS,M3-M,0.5933206611428247,0.7854767624124199
MagnitudeWarping,NHITS,M3-M,0.1479356751107979,0.7732919242309786
QGTS,NHITS,M3-M,0.013796639638724942,0.7590121990370244
QGTSE,NHITS,M3-M,0.0047610019182280664,0.764149095906691
Scaling,NHITS,M3-M,0.43766380254235093,0.7702423214687067
SeasonalMBB,NHITS,M3-M,0.021810720995169876,0.7641715393367972
SeasonalNaive,NHITS,M3-M,2.2026029694087723e-40,1.0910284651273285
TSMixup,NHITS,M3-M,0.1404032476602161,0.770296087172911
TimeWarping,NHITS,M3-M,0.006629658901440709,0.7568634585035878
DBA,KAN,M3-Q,9.359496802600824e-07,1.1463447487743557
Jittering,KAN,M3-Q,0.5581570973302594,1.2291599713854793
MagnitudeWarping,KAN,M3-Q,0.68662338077379,1.2129981287544147
QGTS,KAN,M3-Q,0.015488836574710247,1.2069346941174495
QGTSE,KAN,M3-Q,0.19379260950485266,1.212385114804313
Scaling,KAN,M3-Q,0.02683847334851904,1.1650781391199996
SeasonalMBB,KAN,M3-Q,0.30482611657918324,1.2211605480843386
SeasonalNaive,KAN,M3-Q,5.058567520255618e-13,1.4168035695573353
TSMixup,KAN,M3-Q,0.007822740296727238,1.2711000239996766
TimeWarping,KAN,M3-Q,0.09243383381800992,1.206315783491739
DBA,MLP,M3-Q,0.6884031846787422,1.1517849354943974
Jittering,MLP,M3-Q,0.13662851781971871,1.148065122688576
MagnitudeWarping,MLP,M3-Q,0.0743785088132327,1.1591617956877733
QGTS,MLP,M3-Q,0.020125571106198337,1.1809142881280006
QGTSE,MLP,M3-Q,0.0013845220494723572,1.1988603671052787
Scaling,MLP,M3-Q,0.8408259640170637,1.111542515352064
SeasonalMBB,MLP,M3-Q,0.4809118209977822,1.1542605439462417
SeasonalNaive,MLP,M3-Q,8.949085604768957e-22,1.4168035695573353
TSMixup,MLP,M3-Q,0.00011689134876083197,1.209374394807565
TimeWarping,MLP,M3-Q,0.6985670110922428,1.1323927661038906
DBA,NHITS,M3-Q,0.0380146821032617,1.13628096898266
Jittering,NHITS,M3-Q,0.4546849060931675,1.1851022337340662
MagnitudeWarping,NHITS,M3-Q,0.4098869937335001,1.1806033934858309
QGTS,NHITS,M3-Q,0.08843343301646776,1.2196361147198196
QGTSE,NHITS,M3-Q,0.45165984421117045,1.2045061105958652
Scaling,NHITS,M3-Q,0.001311340154987068,1.106908820777044
SeasonalMBB,NHITS,M3-Q,0.013757509246351659,1.165137624958513
SeasonalNaive,NHITS,M3-Q,1.472767183197294e-16,1.4168035695573353
TSMixup,NHITS,M3-Q,0.7256059583069714,1.1932582686683948
TimeWarping,NHITS,M3-Q,0.002256385162179494,1.1305062854659382
DBA,KAN,T-M,0.7291329213220664,1.2305903498501831
Jittering,KAN,T-M,0.681273269466408,1.2275528404691292
MagnitudeWarping,KAN,T-M,0.6435222990835368,1.2293672624423226
QGTS,KAN,T-M,5.781770044229179e-07,1.1903640438467817
QGTSE,KAN,T-M,5.804365563477324e-09,1.1827108716227603
Scaling,KAN,T-M,0.2395311907723876,1.221588571603205
SeasonalMBB,KAN,T-M,0.05982204700212618,1.2171490906814486
SeasonalNaive,KAN,T-M,1.1221204490999142e-09,1.344767514206204
TSMixup,KAN,T-M,0.04635364920502484,1.2133163934432618
TimeWarping,KAN,T-M,5.805357112459065e-06,1.272500698827204
DBA,MLP,T-M,4.701995353292089e-57,2.5449357993065793
Jittering,MLP,T-M,0.7644220437504028,1.2126289555712821
MagnitudeWarping,MLP,T-M,0.06987836184548886,1.216353126657127
QGTS,MLP,T-M,0.05444867589427422,1.1947097503262534
QGTSE,MLP,T-M,0.06397442070582063,1.188395431866494
Scaling,MLP,T-M,0.5038051539062983,1.203969146189743
SeasonalMBB,MLP,T-M,0.024546885216690073,1.1962662991045034
SeasonalNaive,MLP,T-M,3.773821771780277e-13,1.344767514206204
TSMixup,MLP,T-M,0.03527486201778422,1.1830109142461913
TimeWarping,MLP,T-M,0.0001493092717603629,1.2573731691644547
DBA,NHITS,T-M,0.563738705542064,1.1933330502083013
Jittering,NHITS,T-M,0.02947517624993112,1.200394948196109
MagnitudeWarping,NHITS,T-M,0.7202107877883253,1.2083241243097842
QGTS,NHITS,T-M,0.023860612726359635,1.1904276726634202
QGTSE,NHITS,T-M,0.006799046135323506,1.188114817894206
Scaling,NHITS,T-M,0.563738705542064,1.2055923534656052
SeasonalMBB,NHITS,T-M,0.002686536900712608,1.1839765286304458
SeasonalNaive,NHITS,T-M,1.3290575817487994e-13,1.344767514206204
TSMixup,NHITS,T-M,0.04182183602726567,1.1904406521421904
TimeWarping,NHITS,T-M,0.020322324323920157,1.229820600590971
DBA,KAN,T-Q,0.20375886555540434,1.548765238859115
Jittering,KAN,T-Q,0.00011469945176859144,1.6312451888817878
MagnitudeWarping,KAN,T-Q,0.08414415647021593,1.5907976194743116
QGTS,KAN,T-Q,0.08135763842141285,1.5475940780729351
QGTSE,KAN,T-Q,0.014474070334761543,1.5450091504424261
Scaling,KAN,T-Q,3.895164614590935e-05,1.6233720515894212
SeasonalMBB,KAN,T-Q,0.023867737612369048,1.6002349990098874
SeasonalNaive,KAN,T-Q,0.0006900591659488126,1.7015929797369151
TSMixup,KAN,T-Q,1.2710183916445057e-08,1.6419494081964212
TimeWarping,KAN,T-Q,1.4224150625140267e-09,1.6700718099485077
DBA,MLP,T-Q,0.0066103716029719565,1.6051757051988893
Jittering,MLP,T-Q,1.0208269103315784e-07,1.6539497932793406
MagnitudeWarping,MLP,T-Q,0.0031268854047664493,1.615399923423497
QGTS,MLP,T-Q,0.0004962446965302976,1.5165534913929752
QGTSE,MLP,T-Q,3.6775356835451782e-06,1.4975606837119204
Scaling,MLP,T-Q,4.662659589533833e-05,1.6452513568417844
SeasonalMBB,MLP,T-Q,4.439521738164246e-05,1.636924237268723
SeasonalNaive,MLP,T-Q,0.0002717102066787549,1.7015929797369151
TSMixup,MLP,T-Q,0.00014368746961431278,1.597563846112946
TimeWarping,MLP,T-Q,2.9751511641799444e-15,1.7196231673505855
DBA,NHITS,T-Q,4.476866167441453e-06,1.5646953283238196
Jittering,NHITS,T-Q,0.00354946369721084,1.6079514002103412
MagnitudeWarping,NHITS,T-Q,0.312793605814201,1.6281969962386886
QGTS,NHITS,T-Q,1.8106307498576576e-10,1.5548760647598805
