unique_id,metric,SeasonalMBB,Jittering,Scaling,TimeWarping,MagnitudeWarping,TSMixup,DBA,original,derived,derived_ensemble,QGTS,QGTSE,SeasonalNaive
ID1,mase,0.3053214,0.35630804,0.2999711,0.21734975,0.3112779,0.4068379,0.36136195,0.36636955,0.26687425,0.21531466,0.2962861,0.37191296,1.3309436
ID10,mase,1.1920552,1.0779134,1.3097638,1.2678293,1.1353295,1.1018907,1.1240183,1.1443179,1.2886457,1.4688263,1.1529324,1.199413,2.1313908
ID100,mase,0.5949895,0.5238708,0.54007936,0.56735563,0.4520755,0.52087677,0.67942584,0.46825308,0.45047185,0.38159963,0.57777345,0.5464826,0.6221448
ID101,mase,0.6364158,0.57855165,0.6426103,1.0549176,0.939601,0.59809136,0.6189948,0.60480404,0.84099275,0.67169696,0.58140486,0.6492761,0.89518845
ID102,mase,0.7723819,1.1258291,0.9120818,1.1532013,0.96303934,0.7877424,0.96875876,0.8869189,0.91564727,0.9579632,1.045351,0.9704379,1.1054027
ID103,mase,0.5941322,0.56586725,0.6154462,0.6271422,0.42670047,0.6360471,0.6163707,0.6136366,0.51305175,0.54846716,0.5691525,0.58608484,0.7836867
ID104,mase,0.86787844,0.7833251,0.82608277,1.0197457,0.7293469,0.7522322,0.81202817,0.98053205,0.9213492,0.99618113,0.8064297,0.8936624,1.0984397
ID105,mase,0.7782218,0.7212037,0.81442785,0.9383779,0.6230953,0.7164601,0.81799984,0.93364155,0.85426414,0.93884367,0.7688254,0.8082764,0.99127084
ID106,mase,0.3374322,0.388055,0.33382556,0.4006199,0.36546147,0.33513102,0.32986325,0.38656223,0.42964575,0.3644967,0.3294905,0.3309863,0.4424203
ID107,mase,1.0522648,0.7845001,0.89294267,0.8742222,0.88142115,0.7839656,0.7397125,1.0467588,0.8785954,0.9293211,0.96063936,0.98895687,1.1263956
ID109,mase,1.0786752,1.098005,1.0545828,1.06866,1.1011997,1.1682204,1.0986913,1.1679916,1.0192139,1.0828815,1.1606283,1.1465237,1.3157855
ID11,mase,0.8668545,0.8691401,0.93342996,0.890217,0.8471154,0.82796633,0.7893561,0.8229146,0.9186762,0.9190567,0.86155975,0.8855473,1.0275849
ID110,mase,1.1641489,1.2888477,0.9547824,0.8758152,1.0997242,1.3057232,1.0965474,0.95586765,1.0832928,0.8222606,1.1624138,1.1024895,1.0465004
ID111,mase,2.6269276,2.2810767,2.4030275,2.0895839,2.2959225,2.4542222,2.4947882,2.508333,2.416798,2.6644032,2.678537,2.590871,3.4543633
ID112,mase,0.68867874,0.75832266,0.6397656,0.7870636,0.6328115,0.70203274,0.7857685,0.634352,0.6552864,0.6436516,0.7198078,0.81249124,1.8122567
ID113,mase,0.559302,0.61179394,0.52142686,0.68154716,0.47297907,0.5309183,0.6462899,0.49875528,0.5530109,0.5601173,0.5772777,0.6521085,1.6487256
ID114,mase,0.79024535,0.8185143,0.81111366,0.89987195,0.747646,0.7960524,0.7846055,0.7235598,0.7708893,0.7937421,0.7596908,0.7294449,2.682198
ID115,mase,0.3124237,0.2915994,0.22262196,0.28950626,0.2628231,0.26976696,0.30492154,0.2641033,0.23019102,0.19964467,0.2934394,0.2916904,0.6967881
ID116,mase,0.7372041,0.7498943,0.6609477,0.867363,0.90598565,0.6804273,0.8714049,0.62629294,0.9021678,0.86756897,0.6891702,0.75183576,0.56888604
ID117,mase,1.1772524,1.4247793,1.1801951,1.1878275,1.2685137,1.5191911,1.3357354,1.2125043,1.0512488,1.2782257,1.1873165,1.2978665,1.1275458
ID118,mase,0.59435266,0.5977304,0.5735455,0.59784913,0.38084105,0.56007653,0.56752765,0.5642675,0.48631558,0.46508938,0.5173012,0.5114035,3.9492388
ID119,mase,0.5806433,0.61540186,0.59115845,0.7861661,0.52862954,0.5659697,0.65519375,0.50258595,0.6764503,0.69287854,0.5340155,0.62124914,2.0553684
ID12,mase,0.927988,0.7946347,0.78578126,0.84091395,0.9917149,0.7974531,1.0155449,0.79905874,0.8641808,0.8425741,0.93184817,1.0122185,0.9054125
ID120,mase,0.25662202,0.24700695,0.26196173,0.32417005,0.28901288,0.25596657,0.26728818,0.24946427,0.29897833,0.31036508,0.2572297,0.2699223,0.32082865
ID121,mase,0.38241303,0.39477023,0.41939858,0.46102333,0.31369948,0.29246572,0.3335637,0.3076362,0.38827294,0.45662102,0.32091787,0.36455098,1.612157
ID122,mase,0.4225104,0.6077315,0.4328098,0.70757174,0.43573537,0.51485866,0.5467124,0.439641,0.6332347,0.5866096,0.390859,0.42086995,0.72865075
ID123,mase,0.38241303,0.39477023,0.41939858,0.46102333,0.31369948,0.29246572,0.3335637,0.3076362,0.38827294,0.45662102,0.32091787,0.36455098,1.612157
ID124,mase,0.36258224,0.37569156,0.4786481,0.4954667,0.4121583,0.3860047,0.40581283,0.34788838,0.5087121,0.49777594,0.30018857,0.2942458,2.326119
ID125,mase,0.8912343,0.9050061,0.7310893,0.9273499,0.90168875,0.8319297,0.94272894,0.69727194,0.86570674,0.80863535,0.82603365,0.9376066,0.9395154
ID126,mase,0.2422144,0.48718563,0.40089792,0.51581264,0.3745639,0.48022166,0.65123206,0.42687893,0.49638742,0.47457078,0.299204,0.28146243,0.69265115
ID127,mase,0.6568521,0.6435866,0.6837002,0.74403006,0.51490027,0.62650657,0.7142993,0.5740994,0.7255238,0.7183104,0.5961569,0.6595372,0.69674885
ID128,mase,0.36390916,0.34825447,0.39436707,0.39260003,0.2710167,0.3090078,0.3613013,0.2498478,0.3417537,0.35735846,0.34929043,0.36319143,1.115829
ID129,mase,0.3995784,0.39663306,0.3025707,0.3216371,0.31380358,0.4092562,0.36002532,0.35065228,0.3669139,0.35053527,0.39184663,0.42943197,0.47546273
ID13,mase,3.3466604,3.3842604,3.3158681,3.5310438,3.8161018,3.2739277,3.333658,3.6524022,3.7109263,4.161797,3.414389,3.5780609,2.4192407
ID130,mase,0.4970669,0.4652312,0.48200017,0.6338251,0.4137806,0.410833,0.46534577,0.4484945,0.4198553,0.24041283,0.466362,0.40409744,1.0970273
ID131,mase,0.69363075,0.6408318,0.9581995,0.7999129,0.7697272,0.71569896,0.7891801,0.7854348,0.74090815,0.9324307,0.7694016,0.69226813,1.8247001
ID135,mase,1.2097361,2.2709537,1.5979639,1.5382096,1.3016536,2.243726,2.17071,1.4258188,1.3735797,1.7308851,1.3023922,1.6749434,3.0528395
ID136,mase,0.8445862,0.7556396,0.8924417,0.75447726,1.1503887,0.8369098,0.7222998,0.8657469,1.1864139,1.7765801,0.7637381,0.76091504,0.9531713
ID137,mase,1.6823639,1.5927162,1.6014132,1.3638945,1.4364276,1.5251223,1.626913,1.4588983,1.5784007,1.3888322,1.8151958,1.6212066,0.60115093
ID138,mase,0.6124988,0.8361025,0.73279375,0.95098203,0.5890248,0.6998259,0.6312804,0.86412364,0.93940675,0.8783188,0.62860245,0.6661661,1.3264941
ID139,mase,0.5805567,0.4903844,0.5725268,0.59442914,0.59714895,0.6091738,0.4855851,0.66197276,0.7811074,1.088028,0.61659956,0.57775176,0.88450754
ID14,mase,2.505024,2.4232583,1.948479,1.8416742,2.245089,2.5092936,2.2561944,2.2480054,1.8902116,1.7418433,2.324745,2.4274616,3.4552643
ID140,mase,1.9342632,2.2331455,1.8482714,1.8044562,2.0478997,2.1782095,1.8571068,2.0860996,1.931898,1.7475209,2.0523932,2.0321584,1.5312324
ID141,mase,0.98402494,0.80988663,0.8729179,0.8955088,0.582364,0.9097273,0.61527866,0.8436592,0.81050354,0.79579556,0.7292927,0.83882236,1.2757688
ID142,mase,0.57256716,0.5423822,0.5561988,0.5197015,0.55937356,0.5686774,0.56879526,0.5767573,0.6460599,0.9665619,0.5752867,0.52998614,0.69485575
ID143,mase,1.4974514,1.5639591,1.0632126,0.81195366,0.9828598,1.3497962,1.3941306,1.3380271,0.9770462,0.8783749,1.3235391,1.3517315,1.1728123
ID144,mase,0.8448986,1.614999,1.0227597,1.3964566,1.3427466,1.6708441,1.546763,1.1381233,1.4095252,2.0427809,0.9263312,1.0612502,2.8657637
ID145,mase,1.4258521,1.4115129,1.3260844,1.4884335,1.4556323,1.4300398,1.6195728,1.4490852,1.5471601,1.5581087,1.4492863,1.4244499,1.3393744
ID146,mase,0.9723498,1.024464,0.86705136,0.90655744,1.1432238,1.0203509,0.858555,1.1420794,0.9477904,0.9721485,1.1178793,1.0816613,1.3084279
ID148,mase,0.601577,0.58029264,0.58614045,0.5246878,0.5639725,0.59427357,0.6086695,0.57308275,0.3985436,0.52968013,0.62980133,0.58446425,1.3203704
ID149,mase,0.8647802,0.9231627,1.0002012,0.77648544,0.9137737,0.9220578,0.7845127,1.038227,0.83228946,0.8234875,0.79556024,0.8188087,1.5996094
ID15,mase,0.3184839,0.39724076,0.305183,0.27745155,0.3135353,0.4144665,0.23186165,0.37540537,0.29416284,0.45763332,0.4786703,0.5104242,0.6028308
ID150,mase,0.7931734,0.84349203,0.7839236,0.5464467,0.78088325,0.8692413,0.7556712,0.88860315,0.6498572,0.6607854,0.7830559,0.7783126,0.83690864
ID151,mase,1.2994897,1.3870856,1.1158239,1.1948754,1.7460086,1.1923597,1.2700189,1.4974831,1.1775659,1.2703072,1.0617168,1.0909253,1.1294643
ID152,mase,0.70956206,0.6308239,0.704443,0.9759,0.5591215,0.5874955,0.6456351,0.6441928,0.90645194,1.0610266,0.6614679,0.6061669,0.8533367
ID153,mase,0.7003676,0.71427137,0.7340635,0.6484866,0.76611716,0.7385141,0.75032634,0.73616177,0.61095154,0.67055124,0.7248473,0.753054,0.9006949
ID154,mase,0.1541157,0.1733841,0.19447473,0.36065874,0.3629329,0.16208552,0.16398498,0.2629642,0.2648469,0.27796215,0.14602496,0.15156275,1.3824303
ID155,mase,0.1833305,0.15186015,0.28704655,0.20383555,0.17912382,0.15732354,0.15816005,0.16326544,0.19168817,0.22652367,0.21231665,0.20431235,0.46743193
ID156,mase,0.45596078,0.51445305,0.6850134,1.0149883,1.0102934,0.63477004,0.735013,0.7313912,1.0023534,1.256963,0.5424778,0.5663425,1.9656224
ID157,mase,0.80753344,0.8065409,0.7361544,0.3824797,0.666534,0.8268982,0.7499814,0.91204673,0.47182485,0.5136471,0.74232614,0.7442089,1.4077095
ID158,mase,0.4524271,0.4051156,0.49758714,0.47402054,0.4248565,0.4364825,0.43787214,0.44513294,0.497333,0.5261767,0.42878455,0.4634518,1.3308413
ID159,mase,1.166013,1.1460636,0.98698425,0.9466204,1.050816,1.1019504,1.1393051,1.0816532,1.0050669,0.8699283,1.120818,1.147861,0.52017
ID16,mase,0.76041085,0.7499314,0.814699,0.8741767,0.83809125,0.87789834,0.73824626,0.82540125,0.84179443,1.1166855,0.7824476,0.772173,0.8226528
ID160,mase,1.050428,0.9198879,1.0643514,1.2171603,1.4788935,0.95659804,0.9830084,1.2876159,1.333485,1.4588503,0.8471793,0.9901273,1.7099007
ID161,mase,0.98934025,0.94135314,0.96420026,0.9433594,0.9003096,0.986263,0.9190955,0.9820266,0.906803,0.92005527,0.9754324,1.0335385,1.1637948
ID162,mase,0.5203224,0.4632086,0.58730924,0.44842085,0.56950533,0.5425533,0.52851135,0.55287576,0.5493015,0.60512346,0.5245242,0.5350435,0.967989
ID163,mase,1.3205281,1.2047298,1.2663509,1.4744275,1.4493083,1.5082486,1.4269292,1.3021189,1.5893532,1.408471,1.224049,1.2714381,1.0950634
ID164,mase,0.95418113,0.956056,0.7244663,1.0889117,1.1380895,0.8693373,1.1166372,0.89857155,1.0501082,1.0538839,0.8973358,0.88208306,1.2852246
ID166,mase,0.72013474,0.72565264,0.7048418,0.5803518,0.74786854,0.6849065,0.63984454,0.74784774,0.5605824,0.63759327,0.7761971,0.74356985,0.8550217
ID17,mase,0.7156285,0.7131111,0.66426075,0.62142867,0.70049864,0.72673076,0.65053976,0.6628319,0.6718481,0.68219304,0.89147484,0.8452627,0.81046563
ID170,mase,0.75807726,0.7891657,0.759039,0.80829936,0.66676384,0.7394901,0.7660877,0.73736155,0.71434546,0.7821547,0.7971097,0.77160317,0.85717124
ID171,mase,0.555042,0.54604083,0.5587583,0.56681305,0.5817939,0.5218452,0.47854576,0.5272443,0.5191666,0.5347947,0.5502479,0.548784,0.6593079
ID173,mase,0.51811975,0.48494118,0.5242634,0.49850214,0.5309799,0.47468147,0.46053395,0.5056494,0.4897842,0.5333068,0.5201247,0.5006177,0.7216893
ID174,mase,0.76687425,0.64035934,0.8083251,0.7457891,0.54624265,0.75801355,0.7566127,0.60300386,0.73518294,0.7939009,0.77858967,0.7845417,0.80446875
ID175,mase,0.34976876,0.35352716,0.35796717,0.2681689,0.28005904,0.28615856,0.3435257,0.35439074,0.26253414,0.28252783,0.32333267,0.34896398,0.4194902
ID176,mase,0.27116466,0.31472504,0.29266512,0.28023854,0.30978477,0.3428278,0.29345718,0.31119457,0.30927455,0.24448988,0.30843464,0.30670327,0.402515
