unique_id,metric,SeasonalMBB,Jittering,Scaling,TimeWarping,MagnitudeWarping,TSMixup,DBA,original,derived,derived_ensemble,QGTS,QGTSE,SeasonalNaive
ID1,mase,0.3767981,0.25013807,0.26245564,0.21870811,0.2919778,0.39655998,0.38634297,0.27780062,0.31706166,0.1790668,0.38403308,0.40091577,1.3309436
ID10,mase,1.1733537,1.2832488,1.1993427,1.1356422,1.338921,1.1365894,1.1787877,1.2622511,1.1500185,1.3732218,1.1394014,1.1038073,2.1313908
ID100,mase,0.46660456,0.4692703,0.52009374,0.40672967,0.45342052,0.55522996,0.5056281,0.71892154,0.52242273,0.41544506,0.5149667,0.5653742,0.6221448
ID101,mase,0.60056216,0.5253359,0.57685447,0.71550244,0.98156977,0.6989291,0.592582,0.47069582,0.8516275,0.61284846,0.61676884,0.6079583,0.89518845
ID102,mase,1.016026,0.94005233,0.8849905,0.92056936,1.1283361,0.9633985,1.0126618,0.9938621,1.2542498,0.88457215,0.914728,0.90706414,1.1054027
ID103,mase,0.5429274,0.55972457,0.5517283,0.577323,0.42548373,0.56481594,0.5639688,0.56903803,0.62942475,0.53935945,0.5515313,0.5120138,0.7836867
ID104,mase,0.90710557,0.89961916,0.813995,0.87371767,0.6952121,0.8074311,0.80367786,0.8462737,0.7923381,0.8524484,0.8260479,0.92617893,1.0984397
ID105,mase,0.8481059,0.8436193,0.76999164,0.79724693,0.6142565,0.7481655,0.6979806,0.7922053,0.7263497,0.7486749,0.7991521,0.8795401,0.99127084
ID106,mase,0.3295751,0.35440987,0.3093936,0.32237047,0.36325404,0.40639734,0.31775078,0.3657863,0.3164133,0.2973424,0.35001343,0.31140327,0.4424203
ID107,mase,1.1121597,1.1034036,0.9490224,0.9071597,0.84733504,0.8772691,0.9059795,1.1752996,0.81102014,0.86461544,1.0093818,1.0717555,1.1263956
ID109,mase,1.2180333,1.4135704,1.1090358,1.1800922,1.3422648,1.2136431,1.1958823,1.3157823,1.1051285,1.1711739,1.1438179,1.0992271,1.3157855
ID11,mase,0.9280773,0.9047223,0.90213424,0.95784426,0.8828834,1.0294201,0.804823,0.83577824,0.92859185,0.9522184,0.9694876,0.9893912,1.0275849
ID110,mase,1.1130744,1.083488,1.0159016,0.8770057,1.0339298,1.2134169,1.4827204,1.1392616,1.3150177,0.75879824,1.3020005,1.3206397,1.0465004
ID111,mase,2.7082157,2.700828,2.6103098,2.4086404,2.5064924,2.4750304,2.7298179,2.670039,2.3779504,2.876299,2.6061854,2.6989067,3.4543633
ID112,mase,0.6627746,0.6434885,0.61152583,0.8079482,0.5667997,0.53500044,0.787827,0.5398151,0.61998314,0.552826,0.713597,0.8056632,1.8122567
ID113,mase,0.53316927,0.52217287,0.49499243,0.6718203,0.45034307,0.43965676,0.6891822,0.41953686,0.53612244,0.46982318,0.5789642,0.64397895,1.6487256
ID114,mase,0.7770078,0.7682673,0.7686525,0.86901927,0.723589,0.665732,0.8257508,0.69639957,0.7789622,0.75773156,0.74064106,0.81198585,2.682198
ID115,mase,0.28560737,0.2734177,0.23294383,0.28905183,0.24975957,0.26262066,0.3182593,0.26848057,0.263033,0.22372116,0.30722633,0.31414133,0.6967881
ID116,mase,0.56044793,0.7321656,0.6245618,0.7339565,0.7193412,0.72543615,0.90666133,0.7807244,0.8384362,0.7387906,0.73125833,0.7311329,0.56888604
