unique_id,metric,SeasonalMBB,Jittering,Scaling,TimeWarping,MagnitudeWarping,TSMixup,DBA,original,derived,derived_ensemble,QGTS,QGTSE,SeasonalNaive
ID1,mase,0.48784348,0.39815283,0.3226241,0.27567574,0.30670443,0.47735485,0.31351027,0.39239395,0.3198918,0.28733844,0.3288791,0.44081414,1.3309436
ID10,mase,1.2114782,1.1928973,1.4612788,1.3229562,1.2654188,1.2580284,1.3354176,1.3094128,1.3559662,1.2557149,1.1394092,1.1079806,2.1313908
ID100,mase,0.53693366,0.53335184,0.53025156,0.4500362,0.47488406,0.6379251,0.4871594,0.56466234,0.4346334,0.436885,0.5994979,0.5260214,0.6221448
ID101,mase,0.68613994,0.6573812,0.610563,0.83440346,1.2582055,0.57613814,0.53468716,0.67038226,0.7984308,0.57137173,0.6022491,0.58042705,0.89518845
ID102,mase,0.73130465,0.8698693,0.9443522,0.9268278,1.1323764,1.1356965,1.2648566,0.9717446,1.2249187,0.8885535,0.92758644,0.8520955,1.1054027
ID103,mase,0.6883619,0.6389567,0.66783476,0.641822,0.62380356,0.62387013,0.56764925,0.66592973,0.6103569,0.6522888,0.6598778,0.6745246,0.7836867
ID104,mase,0.9043531,0.786563,0.96190035,0.8554147,0.9706501,0.76276195,0.80149466,1.0092567,0.8346228,0.731054,0.921796,1.1225618,1.0984397
ID105,mase,0.86874604,0.7047464,0.89588124,0.8140255,0.90447164,0.67424035,0.7813402,0.96006763,0.8510709,0.70245415,0.89143157,1.0863138,0.99127084
ID106,mase,0.3923709,0.35487977,0.29244336,0.31581196,0.34628862,0.4042003,0.31458688,0.37237722,0.32948986,0.33343422,0.34659353,0.3312431,0.4424203
ID107,mase,1.1408688,0.92598367,0.9959291,0.9072078,0.93676144,0.8356259,1.042694,1.1461791,1.016124,0.81215614,0.96982336,1.0894209,1.1263956
ID109,mase,1.1770396,1.1457117,1.0625938,1.1264728,1.3524272,1.1235858,1.0956879,1.1007439,1.21146,1.2902938,1.1408215,1.1289514,1.3157855
ID11,mase,0.8989786,0.92288476,0.84104437,0.8656077,0.96894693,1.0280852,0.8683464,0.92482007,0.89982724,0.81588393,0.97816515,0.9029661,1.0275849
ID110,mase,1.2244202,1.3308597,1.1558832,0.86008275,1.1593459,1.4032217,1.3545724,1.5042017,1.2806448,1.3100771,1.2940704,1.1356645,1.0465004
ID111,mase,2.5930834,2.6826904,2.7586844,2.0108745,2.7029939,2.3984325,2.6282952,2.8800611,2.239339,2.423593,2.6997387,2.6788836,3.4543633
ID112,mase,0.6642592,0.9106587,0.5881784,0.6629233,0.8517698,0.67392594,0.7810505,0.7616664,0.6148478,0.7516405,0.705484,0.7304424,1.8122567
ID113,mase,0.56951964,0.76145655,0.45399097,0.5197249,0.7576218,0.5189417,0.6462386,0.6415439,0.5416437,0.61369324,0.59498686,0.5404136,1.6487256
ID114,mase,0.7765265,0.85414946,0.72722125,0.7872447,0.8042698,0.68478185,0.8168722,0.6949478,0.7941399,0.8026279,0.76528347,0.7614336,2.682198
ID115,mase,0.30140054,0.27434877,0.24818732,0.23365329,0.29399014,0.28043252,0.2854827,0.29639748,0.2674064,0.2621918,0.3027748,0.29405814,0.6967881
ID116,mase,0.6898544,0.77539474,0.675467,0.74280834,0.74329525,0.84805185,0.7362485,0.8018575,0.81023175,0.83723766,0.7422623,0.7296337,0.56888604
ID117,mase,1.3440754,1.3146418,1.0764793,1.2923733,1.2003328,1.3542639,1.091911,1.198197,1.4504226,1.169582,1.2437905,1.1858184,1.1275458
ID118,mase,0.6412089,1.0473906,0.61391973,0.5686786,0.65249145,0.5855248,0.9388451,0.88875943,0.55238205,0.6673426,0.70998365,0.6418612,3.9492388
ID119,mase,0.574913,0.78760636,0.5201056,0.4720029,0.77417064,0.4759829,0.6166313,0.61698043,0.6016285,0.6538621,0.615481,0.52731884,2.0553684
ID12,mase,0.8270871,0.8640868,0.824025,0.7646392,0.8959451,0.7798159,0.92251444,0.90093994,0.78363514,0.91530603,0.8791801,0.8899028,0.9054125
ID120,mase,0.23757419,0.23142466,0.262698,0.23929082,0.25188202,0.27878362,0.22043887,0.2742003,0.30109793,0.36206815,0.2715506,0.25229657,0.32082865
ID121,mase,0.41964734,0.4456251,0.33794552,0.24432135,0.4079953,0.3628054,0.41448465,0.45429558,0.35668302,0.44067493,0.41447845,0.3905383,1.612157
ID122,mase,0.44277945,0.43668875,0.37588054,0.36784267,0.4477608,0.459281,0.5695971,0.46768552,0.47318864,0.50194734,0.48309368,0.4269612,0.72865075
ID123,mase,0.41964734,0.4456251,0.33794552,0.24432135,0.4079953,0.3628054,0.41448465,0.45429558,0.35668302,0.44067493,0.41447845,0.3905383,1.612157
ID124,mase,0.2653978,0.44693065,0.36306232,0.3932072,0.31438974,0.27894482,0.38089457,0.27673554,0.440362,0.34329346,0.30606577,0.2930763,2.326119
ID125,mase,0.9477056,1.0680516,0.70838016,0.8097993,1.0046529,0.6875723,0.9127808,0.9610532,0.838765,0.9386615,0.9096637,0.8416254,0.9395154
ID126,mase,0.2516726,0.32843354,0.3081657,0.22888574,0.29346055,0.32220846,0.2605412,0.34773275,0.4103007,0.3546682,0.3019387,0.3032159,0.69265115
ID127,mase,0.7477147,0.69597757,0.72910017,0.73973143,0.52985954,0.6925488,0.6480784,0.6781946,0.6091618,0.7049899,0.65692014,0.76669073,0.69674885
ID128,mase,0.41820964,0.4611804,0.42141813,0.32091975,0.37372985,0.41163027,0.3483474,0.47630647,0.40585798,0.44281778,0.436481,0.39902645,1.115829
ID129,mase,0.45876536,0.40852106,0.36458352,0.3496013,0.35482827,0.41935483,0.42922038,0.46532604,0.45110145,0.60402,0.45886055,0.40588835,0.47546273
ID13,mase,3.3812895,3.231689,3.3288462,3.290289,3.6976688,3.244823,3.7326717,3.7729118,3.5819268,3.9991605,3.4601634,3.3085883,2.4192407
ID130,mase,0.4837374,0.5235325,0.58133656,0.5700956,0.40346792,0.47311348,0.44972003,0.37142998,0.36838225,0.2874484,0.44576392,0.4815772,1.0970273
ID131,mase,0.7802457,0.8169173,1.142202,0.8796238,0.7238744,0.84753126,0.8485143,0.87979877,0.78150207,0.8560548,0.8860642,0.86809564,1.8247001
ID135,mase,1.2227721,0.8621322,1.0434889,0.99499136,0.89113253,1.323751,1.185907,1.0021853,0.8677533,1.0516509,1.0095187,0.85172534,3.0528395
ID136,mase,0.7883005,0.77460593,0.81943125,0.5366571,0.82550883,0.80465376,0.7587548,0.8791335,0.95368135,0.8904562,0.79016006,0.73717844,0.9531713
ID137,mase,1.5216343,1.8066602,1.3384981,1.6265335,1.4522048,1.7295526,1.65895,1.5728137,1.6627071,1.6391687,1.471654,1.7113945,0.60115093
ID138,mase,0.6639824,0.6001723,0.7734278,0.68279266,0.777886,0.6967395,0.7721817,0.79686993,0.52601033,0.4894116,0.54430455,0.64429706,1.3264941
ID139,mase,0.6280802,0.5668603,0.5500359,0.5232609,0.55315256,0.45573264,0.70962256,0.73503876,0.7501023,0.92221063,0.76728415,0.7420452,0.88450754
ID14,mase,2.233504,2.1160393,1.9027913,1.9820466,1.9562142,2.364905,2.0711086,2.1692445,1.7868737,1.8240019,2.1748803,2.0906622,3.4552643
ID140,mase,2.1269467,2.1131752,1.9322518,1.9103379,1.8286916,2.2764897,2.0979402,2.024953,2.008533,1.786575,2.143658,2.0158994,1.5312324
ID141,mase,0.75929564,0.6792269,0.8066523,0.80684793,0.51262194,0.80252737,0.6084889,0.77739936,0.62671304,0.81531304,0.6252604,0.7528934,1.2757688
ID142,mase,0.6276301,0.622867,0.6450675,0.55552834,0.6153361,0.5975568,0.5837602,0.6362895,0.5800521,0.49232507,0.57429755,0.5682601,0.69485575
ID143,mase,1.3346881,1.3282986,1.1837504,0.97156465,0.9208507,1.2632458,1.2382925,1.1600409,0.95812726,0.8287033,1.3270231,1.4822134,1.1728123
