unique_id,metric,SeasonalMBB,Jittering,Scaling,TimeWarping,MagnitudeWarping,TSMixup,DBA,original,derived,derived_ensemble,QGTS,QGTSE,SeasonalNaive
ID0,mase,0.7266999,0.53007996,0.8178771,0.73269874,0.5259138,0.6865509,0.5723236,0.48280263,0.67168975,0.4585101,0.5971541,0.59986573,2.0234146
ID1,mase,1.0790129,1.0763272,1.0862317,1.1571523,0.69062054,0.9555122,0.517675,0.9343317,0.8350576,0.5288335,0.980615,0.9826033,1.7774295
ID10,mase,1.5322552,1.5474831,1.3437483,1.3135492,1.4516724,1.2885908,1.2755388,1.457755,1.3500712,1.3430037,1.4510527,1.4912812,1.8304552
ID101,mase,1.5305846,1.5703179,1.6530051,0.9517105,0.7808579,1.2868266,1.327365,1.2250404,1.1205732,1.3206842,1.4260688,1.2867935,7.6812987
ID102,mase,0.49961033,0.45566547,0.7252889,0.8668358,0.5478465,0.48097062,0.46515667,0.49216473,0.5392841,0.6831639,0.4293679,0.4897838,1.6502922
ID103,mase,0.3395057,0.54940736,0.29104555,0.70664746,0.27436593,0.6121838,0.52677095,0.4834495,0.5716899,0.62377167,0.60489655,0.5572545,2.0384614
ID104,mase,0.40820146,0.509385,0.8997396,0.5082019,0.39358094,0.4103427,0.3588582,0.42447776,0.4600161,0.4363402,0.44637933,0.38706484,3.302027
ID105,mase,0.25272036,0.15557325,0.060238726,0.28936967,0.19470368,0.3283714,0.22812396,0.19025539,0.34414476,0.3419411,0.25440508,0.30444774,1.8073021
ID107,mase,1.2928945,1.2337317,1.1636399,0.7989015,1.0390414,1.4322921,1.1888644,1.3385549,1.2485998,1.1386505,1.383475,1.4381113,2.9213116
ID108,mase,0.9136929,0.9660121,0.9807225,0.9780435,0.6384501,0.85909647,0.86092687,0.92604995,0.7051424,0.782337,0.82108104,0.82851684,0.79044586
ID109,mase,4.514211,4.575183,4.537001,4.501888,4.3513317,4.5029426,4.3118334,4.474772,4.5119534,4.4233246,4.535779,4.4570394,4.5462613
ID110,mase,0.5158919,0.23744683,0.45340583,0.42914248,0.4346027,0.26501143,0.31411824,0.17148443,0.37854886,0.7985963,0.30208308,0.25782776,0.49122807
ID111,mase,0.52710676,0.54578346,0.7144694,0.7048217,0.6347804,0.5928332,0.45261112,0.52158314,0.50445646,0.7374749,0.5035889,0.5403065,1.6375946
ID112,mase,0.39283332,0.48369157,0.6859625,0.88805413,0.60613585,0.31980985,0.4341229,0.4615335,0.4440339,0.60744774,0.39949182,0.37368655,2.897561
ID113,mase,0.80340934,0.80558574,0.8029201,0.29418543,0.6671071,0.7424468,0.6715976,0.7815983,0.7080674,0.7564993,0.781497,0.7938596,0.9585925
ID114,mase,1.5781574,1.3697224,1.5154703,0.5798364,0.9897313,1.2871093,0.78617495,1.4140729,1.0137373,1.2273474,1.6158537,1.4481783,2.2757685
ID115,mase,1.3298061,1.5762947,0.4345457,1.6521531,1.6798848,1.3632047,0.95314646,1.4970765,1.6861824,1.6450028,1.2773408,1.4072297,1.4956268
ID116,mase,0.096968934,0.08021919,0.06945255,0.053930715,0.060690477,0.13927358,0.075592116,0.14405711,0.09181351,0.049443103,0.15367974,0.16466181,1.3096288
ID117,mase,0.2683518,0.27082595,0.29572424,0.30938673,0.29756445,0.24621905,0.27280757,0.25880343,0.286471,0.29718956,0.28131673,0.26604846,1.3030236
ID118,mase,0.15027568,0.1429955,0.13549434,0.09672879,0.17569302,0.19412293,0.15804783,0.19260834,0.18536526,0.16632,0.18875413,0.21400774,1.0729381
