unique_id,metric,SeasonalMBB,Jittering,Scaling,TimeWarping,MagnitudeWarping,TSMixup,DBA,original,derived,derived_ensemble,QGTS,QGTSE,SeasonalNaive
ID0,mase,0.64312893,0.5652332,0.8652844,0.57221705,0.44856068,0.6104361,0.76557964,0.56291884,0.59287345,0.44353932,0.64462465,0.5472277,2.0234146
ID1,mase,1.2131225,1.1715511,1.1578807,1.1032865,0.81866914,1.0528678,0.5200636,1.129181,0.7959989,0.68211734,1.075223,0.9832968,1.7774295
ID10,mase,1.4902687,1.4270155,1.2963318,1.2244496,1.4617954,1.2528808,1.3253585,1.5291812,1.1986735,1.2658696,1.470847,1.5062335,1.8304552
ID101,mase,1.5740813,1.7228479,1.8608927,0.87799734,0.76691025,1.5173581,1.3106554,1.4394484,1.460459,1.5512437,1.4125645,1.5922153,7.6812987
ID102,mase,0.6014455,0.50950307,0.8269254,0.80960256,0.6274287,0.47790423,0.61064196,0.55413276,0.6064615,0.6846714,0.54821426,0.6002733,1.6502922
ID103,mase,0.4898758,0.7291841,0.34167656,0.87578404,0.2997014,0.6054858,0.5996927,0.5604172,0.55328953,0.5268707,0.6553885,0.68328565,2.0384614
ID104,mase,0.28441322,0.43792745,0.74686337,0.5285057,0.23511001,0.39356536,0.42090514,0.3440868,0.32703108,0.4229445,0.41713268,0.31939092,3.302027
ID105,mase,0.15269853,0.26221612,0.07957789,0.33797246,0.17529432,0.18190032,0.35730246,0.21737552,0.2099422,0.31538755,0.22158648,0.3747204,1.8073021
ID107,mase,1.2542406,1.2155678,1.161684,0.8035022,1.1612113,1.2573583,1.3431827,1.4196434,1.2092719,1.1190386,1.4195651,1.2892096,2.9213116
ID108,mase,0.9686694,0.99722046,0.78473365,1.1085206,0.7468609,0.98472434,0.8670811,0.9338236,0.7676895,0.8156818,0.965559,0.8749721,0.79044586
ID109,mase,4.5785575,4.6062117,4.569372,4.6337056,4.446968,4.619005,4.421161,4.554607,4.472405,4.3728385,4.600392,4.522941,4.5462613
ID110,mase,0.37765422,0.5698558,0.8154369,0.36181185,0.46219942,0.37084612,0.6956589,0.49221775,0.5141047,0.53116703,0.4056774,0.43421054,0.49122807
ID111,mase,0.5769572,0.47232905,0.810307,0.62479466,0.56615835,0.59892,0.683922,0.5744231,0.60274065,0.67921406,0.630519,0.67983997,1.6375946
ID112,mase,0.4756271,0.5750161,0.7774526,0.8638341,0.5142301,0.48596093,0.42627543,0.39986724,0.651005,0.80666554,0.34516338,0.47972846,2.897561
ID113,mase,0.77857125,0.76664317,0.8261454,0.40031323,0.8106787,0.61027616,0.72602224,0.8304394,0.62647283,0.7110964,0.7621954,0.82597226,0.9585925
ID114,mase,1.4011832,0.9133608,1.4721708,0.46377632,1.2076288,1.0537522,0.7372741,1.199192,1.1578571,0.88150185,1.1193672,1.2493582,2.2757685
ID115,mase,1.3293737,1.5047194,0.55157894,1.5079936,1.7092284,1.6945963,1.6311586,1.6184627,1.558978,1.537796,1.3308234,1.2923489,1.4956268
ID116,mase,0.101361305,0.06152156,0.043084707,0.05896142,0.040279664,0.096551694,0.13489027,0.11410871,0.09494622,0.05409285,0.14174755,0.113374,1.3096288
ID117,mase,0.28175235,0.2956948,0.29825914,0.3186836,0.31729135,0.27365223,0.2889803,0.30981854,0.29630506,0.311151,0.23701614,0.25826818,1.3030236
ID118,mase,0.1280206,0.1340838,0.08201841,0.09603601,0.14730377,0.20377177,0.14497544,0.14031795,0.16504493,0.13073121,0.21440293,0.17890044,1.0729381
ID119,mase,0.69187194,0.62393206,0.60939866,0.7831597,0.6779514,0.7451069,0.78687704,0.7034823,0.7029254,0.67606854,0.7502169,0.64798,1.7068273
ID12,mase,0.04549505,0.04116073,0.041448217,0.05716691,0.057440087,0.051999733,0.05543358,0.051187605,0.054120254,0.05868876,0.049507573,0.041576292,0.11320755
ID120,mase,0.14881298,0.15474199,0.24474092,0.26009744,0.16820127,0.11806366,0.18532658,0.17825142,0.13144337,0.18474722,0.2967716,0.122022845,2.8591032
ID121,mase,0.44887638,0.40185452,0.43514743,0.44296807,0.49109137,0.4200451,0.3954222,0.4058977,0.46777973,0.47199428,0.4349438,0.42343387,0.43619797
ID122,mase,0.38697407,0.40696585,0.44342375,0.36230952,0.42989263,0.41472247,0.40118578,0.4165852,0.42425188,0.4254165,0.3940039,0.4256808,1.1764195
ID123,mase,0.527186,0.5108151,0.3757875,0.25325444,0.47120395,0.55309814,0.5211904,0.5137825,0.4642145,0.426912,0.6561119,0.53155583,2.0938842
ID124,mase,0.27435547,0.32815114,0.34167752,0.22580725,0.32327402,0.35371962,0.35046244,0.31670704,0.32345286,0.41677856,0.3208153,0.34535766,0.602953
ID125,mase,0.5929899,0.6605698,0.41897327,0.90199894,0.45737913,0.74794376,0.66961735,0.5743209,0.39549857,0.5978915,0.599041,0.48233733,0.16764669
ID126,mase,1.5400943,1.4854482,1.8300359,1.5356252,1.4787678,1.4428246,1.4117887,1.4210496,1.4875888,1.5338684,1.5736456,1.5825201,2.4829545
