unique_id,metric,Grasynda(3),Grasynda(5),Grasynda(7),Grasynda(10),Grasynda(15),Grasynda(20),Grasynda(25),Grasynda(50),Grasynda(75),Grasynda(101),Original
ID0,mase,0.6967753,0.66449,0.5992794,0.5885797,0.7602361,0.65066135,0.6794209,0.6414759,0.8338739,0.67952883,0.7862554
ID1,mase,1.1362487,0.94536495,0.8326057,0.9563362,1.1957421,1.1920388,1.0189854,1.0575831,1.083152,0.9845083,1.1462759
ID10,mase,1.4801795,1.50022,1.4814042,1.456058,1.4469359,1.4324784,1.4152046,1.4534853,1.4357984,1.4437665,1.3066877
ID101,mase,1.2725757,1.2169048,1.2270279,1.2092175,1.2179265,1.2190247,1.2344706,1.344997,1.2603912,1.3048204,1.2155544
ID102,mase,0.5232525,0.5510197,0.5494459,0.49158064,0.59150743,0.4877409,0.45780978,0.47049987,0.4962884,0.5138701,0.5989159
ID103,mase,0.6603417,0.65786976,0.66519046,0.70519197,0.7216873,0.661705,0.69766057,0.6343149,0.63212407,0.75980085,0.5234058
ID104,mase,0.30366024,0.3277036,0.37366414,0.36511594,0.38504946,0.3076081,0.3177558,0.3751712,0.35806096,0.32820413,0.35998058
ID105,mase,0.35148698,0.43200752,0.42954814,0.5406326,0.4439493,0.46582392,0.48979437,0.40885267,0.36402377,0.46455035,0.26714826
ID107,mase,1.494278,1.5117246,1.5107183,1.4790399,1.4743769,1.5116895,1.5158026,1.505657,1.3870437,1.4649107,1.3785163
ID108,mase,1.0047836,1.0056512,0.953635,0.9749146,1.0169567,0.90699095,0.82879597,0.80500925,0.98299176,0.868488,0.8757499
ID109,mase,4.644945,4.7131286,4.65618,4.6432753,4.6771874,4.6030035,4.619893,4.5522027,4.5962257,4.54718,4.5739455
ID110,mase,0.26157552,0.23789255,0.4574189,0.371884,0.3014904,0.30213127,0.29629973,0.29357347,0.46689567,0.33668518,0.6459832
ID111,mase,0.65537935,0.72617203,0.5686915,0.637341,0.6885511,0.70329094,0.57911754,0.6538351,0.5822366,0.6969812,0.60519236
ID112,mase,0.27154103,0.2378449,0.23532233,0.26181573,0.31194714,0.25616124,0.18511614,0.26492754,0.3137848,0.28564748,0.35579062
ID113,mase,0.82474977,0.772406,0.8253499,0.8000203,0.733037,0.83786863,0.7886517,0.7895161,0.7893436,0.7710572,0.7101567
ID114,mase,1.2755718,1.161291,1.181754,1.0739948,1.4608735,1.3887695,1.3345641,1.0961635,1.1659852,1.3034735,1.1946608
ID115,mase,1.1973721,1.1443157,1.3030822,1.441421,1.4076778,1.2433512,1.3871168,1.3309628,1.3214499,1.5345806,1.4650989
ID116,mase,0.1471887,0.14691432,0.15450288,0.15337248,0.14437684,0.15194161,0.13940623,0.15872405,0.1450458,0.14589275,0.11361664
ID117,mase,0.26912147,0.25160584,0.27330393,0.25696987,0.26710474,0.25316513,0.25348875,0.28005546,0.2648574,0.27286547,0.2610147
ID118,mase,0.22659624,0.22832052,0.21561185,0.21994512,0.21120358,0.22627848,0.24044368,0.20125794,0.188117,0.20877443,0.19177927
ID119,mase,0.8077989,0.7577781,0.7831466,0.78354955,0.802299,0.7889177,0.76434815,0.76941293,0.7568543,0.82275665,0.7279484
ID12,mase,0.041766062,0.039593227,0.04440209,0.043222267,0.04666722,0.042933792,0.04445786,0.047449734,0.04272181,0.040913217,0.049348652
ID120,mase,0.44682425,0.4731411,0.45747328,0.41383427,0.3833809,0.41955388,0.4598647,0.42759928,0.313573,0.39650095,0.3146689
ID121,mase,0.40951246,0.4030975,0.4189089,0.40969127,0.41758022,0.40564188,0.41803965,0.41893,0.4230862,0.39063394,0.4154245
ID122,mase,0.3613495,0.3871261,0.38038284,0.37743112,0.36441663,0.3831443,0.36797574,0.3730338,0.38174406,0.35302767,0.4078144
ID123,mase,0.7356268,0.7485256,0.73186773,0.7185829,0.7053293,0.7358686,0.7519101,0.7135303,0.63176477,0.6973106,0.63833153
ID124,mase,0.33665255,0.32508874,0.35082904,0.35859346,0.34323642,0.35447207,0.36500177,0.33368823,0.37470672,0.31711027,0.3444808
ID125,mase,0.8331728,0.75427,0.64332795,0.7103785,0.57372516,0.5438586,0.59781325,0.54211336,0.7988346,0.73965436,0.6284296
ID126,mase,1.5464008,1.542169,1.5474294,1.4969329,1.4605721,1.5003748,1.5006598,1.4946637,1.5066236,1.4485587,1.4645511
ID127,mase,0.38323656,0.37454164,0.37435463,0.3728286,0.36428034,0.3717319,0.38558933,0.3876637,0.38325992,0.3808625,0.40171453
ID128,mase,0.068890676,0.07986601,0.08628932,0.06872364,0.06440198,0.0837132,0.07588207,0.08938763,0.04666835,0.063569576,0.036544684
ID129,mase,0.4336788,0.43329573,0.4466267,0.436739,0.43780842,0.44708836,0.4291031,0.44075823,0.3847338,0.4133801,0.3386172
ID13,mase,1.1034971,1.1483451,1.1283832,1.1938052,1.0749826,1.165777,1.1756885,1.159741,1.1687896,1.1342523,1.1670713
ID130,mase,0.19329901,0.19361602,0.1911316,0.17660901,0.1956346,0.16089955,0.1754545,0.21310315,0.17057769,0.19782645,0.16456579
ID131,mase,0.012302628,0.014209981,0.014788792,0.01470592,0.014638586,0.015306742,0.0045696213,0.021878244,0.004438839,0.015472487,0.014641175
ID132,mase,0.1648548,0.17622037,0.14852971,0.17436643,0.15013474,0.16796155,0.15116328,0.14485234,0.15154487,0.14921775,0.1554606
ID133,mase,0.78342944,0.80882657,0.7881713,0.8066297,0.8361081,0.7740393,0.7518216,0.78749204,0.7964237,0.7662492,0.7860362
ID134,mase,1.8605993,1.8919929,1.861913,1.8073709,1.7745064,1.8272718,1.8513018,1.8198146,1.635944,1.7791189,1.6620923
ID135,mase,0.1682992,0.21271801,0.19931649,0.24341094,0.19002832,0.18269219,0.2579417,0.23443195,0.15053211,0.18008824,0.21037333
ID136,mase,0.55201674,0.5614533,0.56440765,0.5902363,0.5147796,0.5430427,0.54505914,0.59034824,0.54461247,0.5940355,0.52208084
ID137,mase,0.9883265,1.0064019,1.0452523,1.0727313,0.97378016,1.0713462,1.1547514,1.0572703,1.0632519,1.0738119,0.94472265
ID138,mase,0.3244449,0.32405263,0.32303274,0.30791947,0.32619753,0.29438058,0.3085966,0.34263688,0.30300358,0.3274665,0.29326853
ID139,mase,1.5678042,1.5453236,1.5452423,1.5468554,1.5793786,1.5583634,1.5606823,1.5393845,1.5242006,1.550192,1.479776
ID14,mase,0.72810096,0.7357964,0.7687348,0.6976841,0.7286596,0.73194826,0.7422847,0.7444142,0.7235696,0.7640074,0.80104834
ID140,mase,3.0410635,3.1661623,3.1221263,3.233271,3.063032,3.0499828,3.237161,3.1467755,2.9760318,3.1547809,3.1320004
ID141,mase,2.5309916,2.6812878,2.7066855,2.811721,2.7714534,2.718089,2.6892889,2.6225135,2.5554402,2.849832,2.4795434
ID142,mase,0.21765442,0.20788802,0.2509915,0.21801254,0.2679669,0.17610277,0.16458862,0.17454056,0.20242159,0.21428348,0.27297273
ID143,mase,1.1320899,1.0727359,1.1032486,1.1037459,1.1312379,1.110659,1.0898491,1.0915078,1.0794548,1.162245,1.0369936
ID144,mase,1.7321626,1.7251812,1.7209638,1.7375981,1.7086538,1.7260307,1.7001289,1.6987685,1.7232357,1.6910219,1.6247256
