unique_id,metric,Grasynda(3),Grasynda(5),Grasynda(7),Grasynda(10),Grasynda(15),Grasynda(20),Grasynda(25),Grasynda(50),Grasynda(75),Grasynda(101),Original
ID0,mase,0.45087624,0.5760352,0.69203836,0.60715514,0.524746,0.4650117,0.6714191,0.86388385,1.060275,0.5593581,0.5830542
ID1,mase,1.0040183,0.99020183,1.1349521,0.9331842,1.1445634,0.87388384,1.0444111,1.1955692,0.9358318,0.9411663,1.0599078
ID10,mase,1.519804,1.4654844,1.4642096,1.5000961,1.4063538,1.487755,1.4070468,1.4757174,1.258703,1.5368094,1.4423468
ID101,mase,1.5872697,1.5928472,1.4303571,1.5817761,1.4070584,1.7267616,1.5280596,1.4366276,1.4350734,1.5516845,1.3934954
ID102,mase,0.6154822,0.5643331,0.5264899,0.60069245,0.5180033,0.5742657,0.54294205,0.53387064,0.47692874,0.6490726,0.6695091
ID103,mase,0.6641893,0.46199563,0.77791655,0.40826532,0.57219464,0.43527046,0.4211989,0.5822243,0.4776042,0.62371945,0.5857515
ID104,mase,0.44974983,0.36009082,0.35959867,0.3588181,0.39823416,0.70355016,0.30188593,0.31527385,0.316973,0.33576074,0.39646763
ID105,mase,0.3042806,0.37246326,0.6063283,0.25457972,0.30805868,0.35265943,0.13175152,0.18843195,0.30795088,0.41786876,0.18756536
ID107,mase,1.4317545,1.3974069,1.4343507,1.3778585,1.4469346,1.2097987,1.4170904,1.4693494,1.3005615,1.4250088,1.4166338
ID108,mase,0.8992844,0.9153525,1.1359999,0.98068124,0.9858029,0.9603602,0.8887789,1.0179797,0.8717438,0.9371476,0.99772114
ID109,mase,4.5968995,4.5990443,4.830066,4.6266575,4.600151,4.5951314,4.522674,4.59857,4.530334,4.5920405,4.595319
ID110,mase,0.40637502,0.28901243,0.41513625,0.3378162,0.54592174,0.32666633,0.4037513,0.3817669,0.30219308,0.22280349,0.32783616
ID111,mase,0.47344133,0.6809642,0.8650158,0.68693787,0.8152981,0.7378073,0.4615577,0.6801817,0.5599353,0.5512946,0.652099
ID112,mase,0.31571653,0.2519449,0.19237757,0.29478917,0.22141363,0.32306397,0.321498,0.32074478,0.5945519,0.3452896,0.3805428
ID113,mase,0.89574045,0.8382702,0.8177645,0.8962626,0.8108787,0.83334315,0.8266405,0.82450765,0.734451,0.8481174,0.77892125
ID114,mase,1.1855415,1.2963859,1.0510768,1.2823768,1.0119358,1.2413516,1.2473648,1.2081559,1.1796124,1.3027835,1.0379342
ID115,mase,1.2598163,1.2086686,1.3664358,1.1999617,1.0714781,1.1162646,1.2837008,1.2433332,1.1967871,1.402633,1.3265847
ID116,mase,0.11516655,0.11635705,0.12129025,0.102125496,0.11844893,0.064735904,0.098238796,0.137879,0.07182107,0.111917056,0.12232088
ID117,mase,0.26074708,0.2670981,0.2523034,0.27041313,0.2723748,0.30089748,0.2552796,0.26567927,0.2813414,0.26646888,0.28075302
ID118,mase,0.18861541,0.16659582,0.2109326,0.15666711,0.18818313,0.09549324,0.21004061,0.20018128,0.16240771,0.19345757,0.14634243
ID119,mase,0.70229876,0.72112024,0.7673562,0.6757292,0.6290941,0.6483561,0.6531482,0.7139528,0.6066349,0.724637,0.7019533
ID12,mase,0.048492596,0.04704429,0.040109474,0.0410825,0.04719457,0.051175512,0.049569022,0.045593016,0.034744386,0.048883237,0.055065148
ID120,mase,0.3288918,0.38069072,0.41430053,0.32431278,0.42765373,0.27954018,0.34520602,0.35220298,0.05229032,0.31436595,0.0975669
ID121,mase,0.39517754,0.42837858,0.41864565,0.4588142,0.42666495,0.42495877,0.41921064,0.42517856,0.4530102,0.42167306,0.46488768
ID122,mase,0.37151095,0.39872283,0.37855592,0.4146946,0.39615002,0.43831953,0.3988295,0.37500238,0.4534905,0.36302197,0.4042585
ID123,mase,0.64433986,0.63773775,0.6800604,0.60381544,0.678494,0.501804,0.66934156,0.68179506,0.52185345,0.6255345,0.5434579
ID124,mase,0.33088776,0.3088126,0.30373597,0.31196183,0.3759694,0.40792838,0.32314023,0.31752145,0.28361353,0.34457374,0.32207188
ID125,mase,0.51437575,0.48963717,0.7126766,0.7476509,0.6542133,0.6322112,0.58497655,0.73945576,0.5570622,0.6018339,0.6111027
ID126,mase,1.4968414,1.5645494,1.5377288,1.5179371,1.5137571,1.5272102,1.578164,1.5813226,1.615476,1.5105853,1.5016514
ID127,mase,0.42987147,0.45299765,0.40171453,0.4414845,0.42682156,0.5197195,0.45269158,0.4233657,0.4135571,0.42438164,0.41247955
ID128,mase,0.06327406,0.0620764,0.048071586,0.046076402,0.048817713,0.073377535,0.04856992,0.06587679,0.032881957,0.038356315,0.08507239
ID129,mase,0.3849565,0.33807632,0.36702517,0.35271502,0.35096058,0.17003356,0.3549954,0.40110618,0.25705734,0.4062656,0.41161978
ID13,mase,1.169868,1.1145829,1.2123895,1.1855559,1.1879181,1.0483776,1.0396987,1.1602098,1.1457366,1.181468,1.2799962
ID130,mase,0.17348409,0.16238257,0.15587178,0.19698177,0.2209762,0.27068532,0.19474249,0.20151784,0.15954807,0.16584034,0.16228193
ID131,mase,0.0029911662,0.009940771,0.013159836,0.01359362,0.019222451,0.06604909,0.01254477,0.01796383,0.06640001,0.004539839,0.011627996
ID132,mase,0.16220245,0.13255332,0.15637876,0.14495096,0.13696219,0.16087216,0.16369241,0.17096028,0.11442477,0.1783749,0.16528335
ID133,mase,0.779773,0.8419427,0.78910136,0.843509,0.8191374,0.74862164,0.84405357,0.8609868,0.79449624,0.78476185,0.7250547
ID134,mase,1.6769689,1.7256432,1.785174,1.6463366,1.80803,1.5345819,1.704035,1.7296493,1.2908188,1.6445417,1.3663509
ID135,mase,0.035677906,0.07195947,0.09642759,0.031064471,0.08435326,0.049622882,0.10034353,0.18375035,0.18144092,0.10050082,0.11105216
ID136,mase,0.52921766,0.51265913,0.5999948,0.5364813,0.51803505,0.47898155,0.48436832,0.4834116,0.49592334,0.5640184,0.52966833
ID137,mase,1.0450187,1.0744706,1.2939712,1.0307436,0.9852307,0.9303915,0.962553,1.0414767,0.97493804,0.9649735,1.0314215
ID138,mase,0.317148,0.30563137,0.28090948,0.34054226,0.36853862,0.40021235,0.3354177,0.33096716,0.2876778,0.30400366,0.30614626
ID139,mase,1.5256273,1.4804162,1.6081152,1.4853586,1.5343977,1.5052313,1.4833852,1.5070473,1.5185702,1.5498228,1.4922925
ID14,mase,0.7545734,0.7180619,0.7119741,0.7384246,0.74272436,0.7429695,0.742115,0.73783726,0.8527754,0.7271362,0.793176
ID140,mase,2.3406322,2.9617712,2.5762486,2.8090765,2.5279765,2.577161,2.699838,3.2213838,3.367926,2.7886822,2.5096538
ID141,mase,1.7733078,2.3993785,2.8375874,2.239738,2.5275838,2.3110669,2.1762533,2.3242462,2.510511,2.5064793,2.3184536
ID142,mase,0.17576802,0.18643878,0.1820441,0.18868609,0.16533728,0.18126169,0.16429797,0.15167314,0.16594452,0.14821526,0.17249957
