unique_id,metric,Grasynda(3),Grasynda(5),Grasynda(7),Grasynda(10),Grasynda(15),Grasynda(20),Grasynda(25),Grasynda(50),Grasynda(75),Grasynda(100),Original
ID1,mase,0.37674597,0.3414663,0.34845808,0.32614803,0.30507454,0.33658212,0.31440243,0.31168193,0.32708234,0.3894043,0.36636955
ID10,mase,1.05357,1.0757942,1.0877984,1.0315381,1.1444783,1.167275,1.1190144,1.093524,1.0114368,1.0434449,1.1443179
ID100,mase,0.5906694,0.5901506,0.5258073,0.5784559,0.53953916,0.57737356,0.52799416,0.5451732,0.5454069,0.52144665,0.46825308
ID101,mase,0.6291163,0.6482416,0.627755,0.5726746,0.6075171,0.6178336,0.5946849,0.54687923,0.6004255,0.6003925,0.60480404
ID102,mase,0.95262057,1.0151138,1.1919868,0.77867824,1.1047939,0.7700626,1.0009326,0.9944324,1.0116864,0.9416084,0.8869189
ID103,mase,0.61384404,0.6130982,0.64441246,0.5849501,0.63818717,0.60678226,0.5909118,0.6197388,0.6292512,0.635643,0.6136366
ID104,mase,0.82938176,0.7982489,0.9093676,0.8632562,0.9794347,0.95301646,0.7889931,0.8315372,0.77283555,0.8374276,0.98053205
ID105,mase,0.78391474,0.7884043,0.88694674,0.82803583,0.8850072,0.9078326,0.7909653,0.800329,0.73869455,0.8005736,0.93364155
ID106,mase,0.32136354,0.34794477,0.31726384,0.33233368,0.34931016,0.31245044,0.36107132,0.33165857,0.33825955,0.36026812,0.38656223
ID107,mase,0.8126497,0.9845189,1.0396993,0.8902034,0.9620234,0.9574344,0.90878415,0.9310447,0.9683662,0.90538853,1.0467588
ID109,mase,1.0553766,1.1289414,1.1433152,1.1509645,1.191872,1.1265485,1.1266857,1.1403356,1.1104798,1.1126813,1.1679916
ID11,mase,0.92707735,0.9194556,0.9844943,0.87829876,0.8181007,0.9103352,0.89631796,0.9609925,0.8909864,0.8443175,0.8229146
ID110,mase,1.2704852,1.3546158,1.2318207,1.1058472,1.2193669,1.3061613,1.1056359,1.1738522,1.4130516,1.2493596,0.95586765
ID111,mase,2.5822191,2.5559042,2.6465175,2.6932979,2.6258764,2.5263953,2.6588516,2.6304235,2.579733,2.5258636,2.508333
