unique_id,metric,Grasynda(3),Grasynda(5),Grasynda(7),Grasynda(10),Grasynda(15),Grasynda(20),Grasynda(25),Grasynda(50),Grasynda(75),Grasynda(100),Original
ID1,mase,0.4581803,0.4562017,0.5559405,0.42199722,0.4713645,0.4601105,0.4431133,0.4244954,0.4331672,0.4637881,0.27780062
ID10,mase,1.1422062,1.1526906,1.1715221,1.0994333,1.1570094,1.2169746,1.1265385,1.1910564,1.1263472,1.1605915,1.2622511
ID100,mase,0.6192812,0.53997284,0.5363968,0.544,0.54836214,0.61333555,0.5174482,0.5241443,0.61604506,0.5058818,0.71892154
ID101,mase,0.54604864,0.6251697,0.664396,0.5605306,0.63584155,0.55924165,0.602291,0.5923187,0.51752025,0.5238809,0.47069582
ID102,mase,0.8771266,0.9992432,1.1518008,0.85491496,0.89211506,0.8230573,0.9168137,1.0667771,0.99437916,0.9811518,0.9938621
ID103,mase,0.56519234,0.56042606,0.57047,0.5257351,0.55552053,0.54945326,0.60961175,0.5696361,0.5515111,0.5835172,0.56903803
ID104,mase,0.8148795,0.83775795,0.8782599,0.87098324,0.8525196,0.842686,0.8585115,0.8158903,0.8082568,0.84421855,0.8462737
ID105,mase,0.76973283,0.78172183,0.7977639,0.8225383,0.8110341,0.8125295,0.7854969,0.7894784,0.7745251,0.81679845,0.7922053
ID106,mase,0.3625769,0.36999813,0.38299197,0.38410276,0.3721237,0.39315853,0.36699894,0.33077568,0.34462228,0.39146256,0.3657863
ID107,mase,1.0322003,1.1136308,1.1371837,1.0517497,1.0473235,1.0325433,1.0409315,1.0358121,1.1005651,1.0655154,1.1752996
ID109,mase,1.1261871,1.0896187,1.0937523,1.1848994,1.2318449,1.148648,1.2134248,1.107355,1.1405416,1.3372889,1.3157823
ID11,mase,1.0007689,1.0425094,0.98402065,0.9830366,1.0068084,0.93856514,0.9400489,0.9717213,0.999316,0.94562715,0.83577824
ID110,mase,1.4812484,1.4485744,1.2579994,1.2617679,1.3090826,1.3803957,1.3952593,1.3822076,1.5295111,1.3776525,1.1392616
ID111,mase,2.76716,2.6917808,2.721013,2.8887675,2.7534914,2.7291167,2.764405,2.6557498,2.703229,2.6719058,2.670039
ID112,mase,0.73322505,0.7385365,0.74077994,0.7178816,0.755255,0.7816701,0.6987417,0.67467123,0.67514926,0.6692233,0.5398151
ID113,mase,0.585765,0.590279,0.6003381,0.5905584,0.597348,0.63486147,0.567917,0.537763,0.54194593,0.54742354,0.41953686
ID114,mase,0.7931725,0.7996322,0.7734952,0.77856827,0.79879457,0.7965569,0.81377757,0.72523606,0.7294129,0.77272785,0.69639957
ID115,mase,0.30625087,0.3319844,0.31896007,0.31338087,0.32156748,0.32739922,0.3266917,0.31163657,0.3382084,0.30937684,0.26848057
ID116,mase,0.69984066,0.7580702,0.7319133,0.6737829,0.66940886,0.6686649,0.65349877,0.7111881,0.7199747,0.82603353,0.7807244
ID117,mase,1.1477709,1.1625433,1.1131388,0.96571434,1.1020874,1.0803931,1.1047605,1.0298785,1.0976621,1.1339936,1.0635684
