unique_id,metric,Grasynda(3),Grasynda(5),Grasynda(7),Grasynda(10),Grasynda(15),Grasynda(20),Grasynda(25),Grasynda(50),Grasynda(75),Grasynda(100),Original
ID1,mase,0.3348091,0.45320153,0.39330077,0.34190646,0.26329628,0.3682828,0.45979908,0.37639794,0.44526222,0.4167739,0.39239395
ID10,mase,1.1583709,1.1963919,1.3239342,1.1767788,1.0708274,1.1831874,1.2267274,1.2477747,1.236883,1.2282231,1.3094128
ID100,mase,0.55728734,0.4872733,0.5126647,0.5295582,0.55841804,0.53032523,0.57132256,0.48963183,0.51283437,0.6124864,0.56466234
ID101,mase,0.5788291,0.65843576,0.55173826,0.6749967,0.5637704,0.57117635,0.58750075,0.6290902,0.6429679,0.6111708,0.67038226
ID102,mase,0.839514,0.8274511,0.8864221,0.84284806,0.94025785,1.0122616,0.87316906,0.9441997,0.8970276,0.89385307,0.9717446
ID103,mase,0.6902546,0.66971684,0.63970464,0.6864355,0.62772894,0.636104,0.64424586,0.6389105,0.65009737,0.6750349,0.66592973
ID104,mase,0.89753044,0.9245775,0.88810384,1.0099514,0.85584,0.86188984,0.8785601,0.90157086,0.9145411,0.98623157,1.0092567
ID105,mase,0.84558254,0.8694806,0.83232635,0.95365274,0.82923514,0.8386868,0.84596616,0.8431022,0.90152645,0.93770164,0.96006763
ID106,mase,0.33356798,0.39307034,0.38951436,0.39594448,0.40164432,0.3371613,0.39259914,0.3570213,0.37883994,0.4067666,0.37237722
ID107,mase,0.94336146,1.0472447,0.98303294,1.0063062,0.98458576,0.98882115,1.0354416,0.93767065,1.0300834,0.9676806,1.1461791
ID109,mase,1.0773448,1.0809348,1.1435841,1.1399156,1.1584995,1.1399398,1.0947059,1.1210777,1.02533,1.1537825,1.1007439
ID11,mase,0.92170364,0.8983026,0.94196856,0.90504646,0.9643017,0.8974244,0.9436814,0.8602144,0.8716716,0.88089067,0.92482007
ID110,mase,1.2580432,1.625414,1.7449119,1.2096307,1.4811538,1.4600793,1.413615,1.3866851,1.4572695,1.2325728,1.5042017
ID111,mase,2.8044417,2.5926223,2.8461044,2.921053,3.2242367,2.8386414,2.865278,2.6930144,2.6420922,2.6693614,2.8800611
ID112,mase,0.678176,0.71605915,0.70594364,0.7427556,0.8187098,0.68872,0.6373107,0.55680656,0.6960443,0.5810986,0.7616664
ID113,mase,0.5327497,0.57616955,0.54992485,0.6111303,0.6758204,0.5388796,0.50195116,0.43036556,0.5849412,0.46735996,0.6415439
ID114,mase,0.76073754,0.8224387,0.7623242,0.7515661,0.84285694,0.7961866,0.7423848,0.72335684,0.7765831,0.76095444,0.6949478
ID115,mase,0.3025993,0.3250018,0.30681664,0.30102175,0.30998617,0.3105749,0.28305265,0.32021564,0.30709478,0.29935148,0.29639748
ID116,mase,0.7032978,0.75160253,0.8532796,0.81742674,0.7561142,0.79160464,0.73504436,0.72095525,0.6899523,0.8025991,0.8018575
ID117,mase,1.0032841,1.1068771,1.2497201,1.1312135,1.2311218,1.124991,1.1789453,0.98360485,1.1541072,1.0903231,1.198197
ID118,mase,0.6852688,0.72209066,0.5791745,0.6512577,0.7945737,0.6267055,0.5897018,0.5346001,0.71666515,0.57519346,0.88875943
ID119,mase,0.5422664,0.61860263,0.55973876,0.59111875,0.6650343,0.5881872,0.51107854,0.49941024,0.5975568,0.47175333,0.61698043
ID12,mase,0.9081732,0.90777564,0.9343938,0.85870004,0.9162864,0.8990425,0.87136984,1.021255,0.8917052,0.7933447,0.90093994
ID120,mase,0.24658757,0.27045792,0.24604838,0.25588694,0.3313445,0.26035583,0.27843946,0.28175643,0.25183406,0.2727425,0.2742003
ID121,mase,0.40825853,0.43472245,0.41639328,0.4382369,0.45391783,0.39020783,0.35845056,0.34572062,0.4327631,0.3457438,0.45429558
ID122,mase,0.43961024,0.44521907,0.42256245,0.44263428,0.47011045,0.42133576,0.43108025,0.40128294,0.4257981,0.48032647,0.46768552
ID123,mase,0.40825853,0.43472245,0.41639328,0.4382369,0.45391783,0.39020783,0.35845056,0.34572062,0.4327631,0.3457438,0.45429558
ID124,mase,0.2562146,0.36113277,0.26529935,0.2578261,0.37502635,0.3401494,0.26821753,0.31653365,0.3033831,0.31669113,0.27673554
