unique_id,metric,Grasynda(3),Grasynda(5),Grasynda(7),Grasynda(10),Grasynda(15),Grasynda(20),Grasynda(25),Grasynda(50),Grasynda(75),Grasynda(100),Original
ID0,mase,0.5955455,0.5910199,0.563223,0.47527775,0.49916333,0.6477609,0.49781427,0.37730882,0.4201123,0.4472013,0.48280263
ID1,mase,0.95358986,0.90613896,0.9781715,0.8001775,0.781775,0.9338222,0.8702509,0.88096124,0.9129045,0.90080124,0.9343317
ID10,mase,1.5063883,1.5363915,1.4971212,1.4860091,1.4373556,1.479408,1.5327922,1.3978513,1.406894,1.4462465,1.457755
ID101,mase,1.3402833,1.3206078,1.2812898,1.3095266,1.2037852,1.3374499,1.1904159,1.3384717,1.2429681,1.250207,1.2250404
ID102,mase,0.46533245,0.45383617,0.47748038,0.45836815,0.4682947,0.56555533,0.49513513,0.5309719,0.48353678,0.4894059,0.49216473
ID103,mase,0.58325726,0.52171326,0.5382016,0.4075329,0.5814232,0.61647445,0.4763207,0.49284834,0.51535916,0.49604386,0.4834495
ID104,mase,0.3254232,0.37406275,0.4344317,0.3896125,0.38165224,0.354799,0.44614995,0.44499806,0.42021257,0.40123832,0.42447776
ID105,mase,0.24574916,0.33025503,0.2612902,0.3729496,0.31276354,0.24750157,0.1967235,0.17304218,0.21782511,0.20442508,0.19025539
ID107,mase,1.4840661,1.4837649,1.4675163,1.4906498,1.4691967,1.4285789,1.3777639,1.4531792,1.3341595,1.3218309,1.3385549
ID108,mase,0.97023916,0.71661806,0.9238854,0.74376583,0.8123657,0.9076344,1.0175658,1.055163,0.9912888,0.9784786,0.92604995
ID109,mase,4.682756,4.472038,4.6272497,4.529497,4.5557785,4.49047,4.711178,4.499195,4.453949,4.4677253,4.474772
ID110,mase,0.23296477,0.49964395,0.40630275,0.075312294,0.11330641,0.38934916,0.2549374,0.1617635,0.40895617,0.36068162,0.17148443
ID111,mase,0.54573625,0.4567087,0.54982454,0.53468853,0.5841843,0.493152,0.5236916,0.45652047,0.5152781,0.533668,0.52158314
ID112,mase,0.31985247,0.35872316,0.2813805,0.2554884,0.2658351,0.35660174,0.30280304,0.35519978,0.47200078,0.47371706,0.4615335
