unique_id,metric,Grasynda(3),Grasynda(5),Grasynda(7),Grasynda(10),Grasynda(15),Grasynda(20),Grasynda(25),Grasynda(50),Grasynda(75),Grasynda(100),Original
ID0,mase,0.68536836,0.6086912,0.6408557,0.727379,0.71609116,0.6800726,0.6748182,0.7514411,0.80812496,0.83494234,0.76740235
ID1,mase,0.97726816,0.92516077,1.0585239,0.99432236,1.005477,1.0189544,1.0468223,1.1945682,1.1760068,1.1804237,1.1556206
ID10,mase,1.4734203,1.4541246,1.4857799,1.4629922,1.4499918,1.4272422,1.4450792,1.2778165,1.2732697,1.327039,1.3054161
ID101,mase,1.3621017,1.2918003,1.2724024,1.2411412,1.230409,1.2794399,1.2501585,1.3098145,1.2459798,1.2036272,1.1718004
ID102,mase,0.5406206,0.4530885,0.5445807,0.509472,0.49327677,0.6526568,0.53609335,0.5942047,0.5393328,0.57118446,0.6023581
ID103,mase,0.7044126,0.68699706,0.71791136,0.63005537,0.7228775,0.76241887,0.6802327,0.60478795,0.60596645,0.59345716,0.56731594
ID104,mase,0.2691858,0.31993374,0.38604546,0.3520565,0.36183563,0.3279146,0.44712034,0.40055743,0.38799128,0.3172202,0.36567268
ID105,mase,0.39437377,0.5062045,0.41415754,0.49960855,0.46318066,0.41846126,0.4122288,0.3656525,0.3484535,0.31815445,0.28580886
ID107,mase,1.4868231,1.4788494,1.5026758,1.5594867,1.474558,1.5486306,1.5245408,1.4835325,1.4096936,1.4073973,1.4074715
ID108,mase,0.9486873,0.78813857,0.9448457,0.80487126,0.8501755,0.9408756,0.94526863,0.9986569,0.93966955,0.90245724,0.8845434
ID109,mase,4.6248665,4.548381,4.640078,4.6161733,4.616507,4.585717,4.718355,4.6272078,4.624251,4.580283,4.578036
ID110,mase,0.366934,0.4182188,0.43259257,0.34249663,0.21349241,0.36328205,0.41858205,0.6646536,0.71188086,0.6678212,0.6569206
ID111,mase,0.6588298,0.5908726,0.6791238,0.6418187,0.72350514,0.6166,0.6426816,0.6573773,0.69457513,0.66400546,0.5937801
ID112,mase,0.2739197,0.28312892,0.26296526,0.20855722,0.260589,0.2383441,0.222318,0.26793805,0.30907327,0.3194875,0.33468804
ID113,mase,0.8061005,0.79810417,0.8472937,0.75838554,0.7628148,0.7608248,0.74360424,0.65920585,0.665142,0.7138814,0.70499164
ID114,mase,1.253079,1.3181036,1.2635518,1.1970894,1.3781961,1.2258021,1.2752701,1.250669,1.0787643,1.1840036,1.16541
ID115,mase,1.225004,1.2453403,1.2428155,1.4762694,1.3397082,1.4335788,1.2619592,1.4254832,1.4332341,1.4408181,1.5035927
ID116,mase,0.14556508,0.15116836,0.13766244,0.14938602,0.13929172,0.17210412,0.15784082,0.13587897,0.13141969,0.13087547,0.12399325
ID117,mase,0.27660945,0.25867814,0.26076606,0.27110025,0.26263377,0.2470134,0.267808,0.27166113,0.27450827,0.26308838,0.25734663
ID118,mase,0.21337545,0.20589526,0.21339965,0.21118583,0.20909944,0.23286912,0.22410096,0.19737792,0.19000095,0.19481651,0.20045225
ID119,mase,0.7542629,0.7938148,0.7613416,0.7765988,0.7774736,0.81577146,0.7854485,0.7372408,0.7620172,0.76184636,0.7483479
ID12,mase,0.044007007,0.043558866,0.040410046,0.04081352,0.038432654,0.0438239,0.040569954,0.043775782,0.04135765,0.04349742,0.050063554
ID120,mase,0.42158931,0.40825006,0.4295733,0.4618136,0.4241315,0.48758042,0.49070197,0.39749494,0.35166273,0.337927,0.34141156
ID121,mase,0.42414293,0.4263334,0.42184442,0.41660047,0.4127746,0.41839853,0.40690848,0.40156892,0.4033409,0.40527308,0.41031465
ID122,mase,0.3692096,0.37029937,0.37872946,0.38558736,0.3702301,0.35279363,0.37282363,0.39775643,0.39005712,0.39390916,0.39765215
