unique_id,metric,Grasynda(3),Grasynda(5),Grasynda(7),Grasynda(10),Grasynda(15),Grasynda(20),Grasynda(25),Grasynda(50),Grasynda(75),Grasynda(100),Original
ID0,mase,0.75669956,0.5762578,0.47726104,0.56087947,0.6543531,0.6666713,0.53888094,0.79042023,0.5675665,0.5952155,0.56291884
ID1,mase,1.068688,1.1287962,1.1066115,0.9200833,1.011157,1.042419,1.2253375,1.1152658,0.9778015,1.0630357,1.129181
ID10,mase,1.4933217,1.4275811,1.4271468,1.4004215,1.4425592,1.4909154,1.4707974,1.3722059,1.5257953,1.3321297,1.5291812
ID101,mase,1.675012,1.5178549,1.5677826,1.4186032,1.3906901,1.514466,1.3144722,1.447798,1.3283485,1.4116676,1.4394484
ID102,mase,0.63362503,0.54985154,0.49484512,0.6177259,0.5533844,0.6036243,0.4988552,0.56042844,0.53059536,0.5223818,0.55413276
ID103,mase,0.4786518,0.7712796,0.63277143,0.634015,0.7836398,0.5301068,0.78182924,0.3841183,0.53865933,0.4248839,0.5604172
ID104,mase,0.513987,0.38265157,0.41853622,0.30382058,0.35674426,0.5445431,0.38662225,0.3548274,0.3119384,0.40762135,0.3440868
ID105,mase,0.349824,0.52809334,0.2939408,0.38464153,0.309954,0.37169862,0.20593765,0.15843377,0.16872175,0.26215845,0.21737552
ID107,mase,1.3139532,1.4238079,1.3495353,1.3502405,1.5057434,1.4070731,1.3608009,1.4663236,1.310641,1.33095,1.4196434
ID108,mase,0.9407529,0.88478714,0.7955458,0.9333594,0.85462993,1.0228863,0.9301274,0.9320598,0.9359776,0.92776036,0.9338236
ID109,mase,4.6038065,4.542894,4.5035286,4.6854973,4.529116,4.6959786,4.6074758,4.6222644,4.548302,4.5926747,4.554607
ID110,mase,0.33148086,0.1324404,0.33789036,0.23516712,0.3271024,0.24382234,0.4477301,0.20052432,0.9303321,0.69858,0.49221775
ID111,mase,0.62235385,0.5513278,0.6024015,0.6607355,0.635664,0.6876877,0.532941,0.65545505,0.45444265,0.5060323,0.5744231
ID112,mase,0.32557607,0.36214045,0.27958545,0.3747533,0.21145198,0.32426575,0.4383352,0.32804078,0.46051338,0.39672005,0.39986724
ID113,mase,0.8281042,0.77850884,0.8129328,0.83974063,0.74957883,0.8268296,0.9081984,0.78041464,0.7155471,0.7353132,0.8304394
ID114,mase,1.1986582,1.1171695,1.1917132,1.2726237,1.1921366,1.214219,1.1881868,1.0464153,0.995645,1.3681715,1.199192
ID115,mase,1.128814,1.0164063,1.1402115,1.3596842,1.3565528,1.313305,1.1487311,1.6125039,1.4448322,1.5473354,1.6184627
ID116,mase,0.08633155,0.13643226,0.11295109,0.08234961,0.14483151,0.096057355,0.12403293,0.088146776,0.0979134,0.096400894,0.11410871
ID117,mase,0.26310167,0.25893345,0.26985794,0.2614826,0.27548388,0.2682825,0.274588,0.27019864,0.26446828,0.293829,0.30981854
ID118,mase,0.15685825,0.19580527,0.14607549,0.18118441,0.21768534,0.18758875,0.17349373,0.16482557,0.16251497,0.14884819,0.14031795
ID119,mase,0.62757206,0.728994,0.66440076,0.6675705,0.7617039,0.6765503,0.75948095,0.64424187,0.7092334,0.6756595,0.7034823
ID12,mase,0.04793563,0.046621073,0.04274649,0.040930983,0.041915853,0.04495807,0.05262629,0.052072283,0.050593622,0.053421885,0.051187605
ID120,mase,0.31965137,0.21766041,0.35504815,0.23944291,0.46069816,0.30053252,0.20022938,0.3434484,0.18134086,0.16499595,0.17825142
ID121,mase,0.42213625,0.42552254,0.43392926,0.4230005,0.43662885,0.4289771,0.43233982,0.41719154,0.40826574,0.387573,0.4058977
ID122,mase,0.4164483,0.40791473,0.4029562,0.40509117,0.36638126,0.41862705,0.39521626,0.43055972,0.4018473,0.4076767,0.4165852
ID123,mase,0.591878,0.6398089,0.59552824,0.6066033,0.70881414,0.6432414,0.58680695,0.6257253,0.56422555,0.5006971,0.5137825
ID124,mase,0.28824985,0.37160537,0.31050387,0.36993477,0.34300077,0.32043225,0.28240764,0.3034149,0.34087482,0.29522237,0.31670704
ID125,mase,0.5346991,0.5700159,0.3958318,0.595511,0.68991804,0.6673479,0.5714498,0.6172539,0.61467564,0.62993836,0.5743209
ID126,mase,1.584235,1.5987283,1.5931202,1.5049014,1.5843709,1.5833281,1.5196205,1.5154414,1.5051436,1.4286574,1.4210496
ID127,mase,0.48463807,0.4148621,0.47399846,0.41522342,0.40040743,0.44458967,0.37694544,0.41095352,0.4148366,0.43212223,0.41501936
ID128,mase,0.02153493,0.0589322,0.029871745,0.01766571,0.10216451,0.05877527,0.056380864,0.035073534,0.03485878,0.04379947,0.09291637
ID129,mase,0.29862165,0.42218083,0.28048965,0.30822948,0.42336062,0.3650623,0.35817766,0.41404563,0.301365,0.34267473,0.42232174
