unique_id,ds,y
ID1,1975-07-31,61.61000061035156
ID1,1975-08-31,66.73999786376953
ID1,1975-09-30,71.87999725341797
ID1,1975-10-31,82.1500015258789
ID1,1975-11-30,87.27999877929688
ID1,1975-12-31,107.81999969482422
ID1,1976-01-31,128.35000610351562
ID1,1976-02-29,159.16000366210938
ID1,1976-03-31,78.0
ID1,1976-04-30,93.93000030517578
ID1,1976-05-31,100.26000213623047
ID1,1976-06-30,108.0199966430664
ID1,1976-07-31,90.16000366210938
ID1,1976-08-31,70.45999908447266
ID1,1976-09-30,57.65999984741211
ID1,1976-10-31,70.08000183105469
ID1,1976-11-30,69.98999786376953
ID1,1976-12-31,75.16000366210938
ID1,1977-01-31,85.6500015258789
ID1,1977-02-28,120.5999984741211
ID1,1977-03-31,176.47999572753906
ID1,1977-04-30,199.17999267578125
ID1,1977-05-31,200.9199981689453
ID1,1977-06-30,204.4199981689453
ID1,1977-07-31,186.9600067138672
ID1,1977-08-31,136.27999877929688
ID1,1977-09-30,111.81999969482422
ID1,1977-10-31,99.58999633789062
ID1,1977-11-30,101.33999633789062
ID1,1977-12-31,97.83999633789062
ID1,1978-01-31,97.8499984741211
ID1,1978-02-28,97.8499984741211
ID1,1978-03-31,101.33999633789062
ID1,1978-04-30,103.08000183105469
ID1,1978-05-31,104.83000183105469
ID1,1978-06-30,106.58000183105469
ID1,1978-07-31,100.20999908447266
ID1,1978-08-31,106.16999816894531
ID1,1978-09-30,104.83000183105469
ID1,1978-10-31,101.80999755859375
ID1,1978-11-30,99.83999633789062
ID1,1978-12-31,102.80999755859375
ID1,1979-01-31,100.69000244140625
ID1,1979-02-28,99.47000122070312
ID1,1979-03-31,98.08000183105469
ID1,1979-04-30,100.29000091552734
ID1,1979-05-31,103.19000244140625
ID1,1979-06-30,102.56999969482422
ID1,1979-07-31,103.9800033569336
ID1,1979-08-31,99.05000305175781
ID1,1979-09-30,99.16999816894531
ID1,1979-10-31,106.20999908447266
ID1,1979-11-30,107.26000213623047
ID1,1979-12-31,104.77999877929688
ID1,1980-01-31,104.72000122070312
ID1,1980-02-29,104.68000030517578
ID1,1980-03-31,99.69000244140625
ID1,1980-04-30,99.80999755859375
ID1,1980-05-31,99.83000183105469
ID1,1980-06-30,103.48999786376953
ID1,1980-07-31,104.81999969482422
ID1,1980-08-31,104.81999969482422
ID1,1980-09-30,104.52999877929688
ID1,1980-10-31,98.58000183105469
ID1,1980-11-30,98.58000183105469
ID1,1980-12-31,98.58000183105469
ID1,1981-01-31,98.58000183105469
