unique_id,ds,y
Q1,1984-03-31,3142.63
Q1,1984-06-30,3190.75
Q1,1984-09-30,3178.69
Q1,1984-12-31,3170.94
Q1,1985-03-31,3124.38
Q1,1985-06-30,3170.0
Q1,1985-09-30,3200.94
Q1,1985-12-31,3176.75
Q1,1986-03-31,3170.44
Q1,1986-06-30,3268.67
Q1,1986-09-30,3198.25
Q1,1986-12-31,3383.35
Q1,1987-03-31,3389.78
Q1,1987-06-30,3368.6
Q1,1987-09-30,3383.7
Q1,1987-12-31,4950.95
Q1,1988-03-31,5086.1
Q1,1988-06-30,5203.95
Q1,1988-09-30,5302.75
Q1,1988-12-31,5268.75
Q1,1989-03-31,5406.85
Q1,1989-06-30,5472.5
Q1,1989-09-30,5656.4
Q1,1989-12-31,5770.3
Q1,1990-03-31,5677.2
Q1,1990-06-30,5725.85
Q1,1990-09-30,5742.0
Q1,1990-12-31,5706.6
Q1,1991-03-31,5591.95
Q1,1991-06-30,5605.15
Q1,1991-09-30,5630.0
Q1,1991-12-31,5589.2
Q1,1992-03-31,5551.25
Q1,1992-06-30,5592.15
Q1,1992-09-30,5481.6
Q1,1992-12-31,5511.55
Q10,1984-03-31,2449.06
Q10,1984-06-30,2524.0
Q10,1984-09-30,2703.82
Q10,1984-12-31,2891.58
Q10,1985-03-31,2894.46
Q10,1985-06-30,2944.72
Q10,1985-09-30,3082.16
Q10,1985-12-31,3186.68
Q10,1986-03-31,3308.72
Q10,1986-06-30,3334.7
Q10,1986-09-30,3388.62
Q10,1986-12-31,3482.5
Q10,1987-03-31,3515.28
Q10,1987-06-30,3576.06
Q10,1987-09-30,4137.82
Q10,1987-12-31,4172.78
Q10,1988-03-31,4474.92
Q10,1988-06-30,4200.26
Q10,1988-09-30,4339.56
Q10,1988-12-31,4692.52
Q10,1989-03-31,4704.6
Q10,1989-06-30,4744.08
Q10,1989-09-30,4985.56
Q10,1989-12-31,5014.5
Q10,1990-03-31,4983.16
Q10,1990-06-30,5105.0
Q10,1990-09-30,6613.42
Q10,1990-12-31,6686.18
Q10,1991-03-31,6501.9
Q10,1991-06-30,6497.12
Q10,1991-09-30,6749.64
Q10,1991-12-31,6807.62
Q10,1992-03-31,6707.04
Q10,1992-06-30,6731.2
Q10,1992-09-30,6984.68
Q10,1992-12-31,6820.5
Q100,1984-03-31,2678.0
Q100,1984-06-30,2928.2
Q100,1984-09-30,2845.4
Q100,1984-12-31,3031.6
Q100,1985-03-31,2575.8
Q100,1985-06-30,2473.0
Q100,1985-09-30,2382.6
Q100,1985-12-31,2417.6
Q100,1986-03-31,2290.4
Q100,1986-06-30,2488.4
Q100,1986-09-30,2497.8
Q100,1986-12-31,2671.4
Q100,1987-03-31,2543.8
Q100,1987-06-30,2743.2
Q100,1987-09-30,2832.6
Q100,1987-12-31,3069.4
Q100,1988-03-31,2934.6
Q100,1988-06-30,3116.0
Q100,1988-09-30,3154.8
Q100,1988-12-31,3384.2
Q100,1989-03-31,3194.0
Q100,1989-06-30,3260.0
Q100,1989-09-30,3141.0
Q100,1989-12-31,3448.8
Q100,1990-03-31,3072.0
Q100,1990-06-30,3184.0
Q100,1990-09-30,3360.0
Q100,1990-12-31,3518.0
Q100,1991-03-31,3294.0
Q100,1991-06-30,3372.0
Q100,1991-09-30,3398.0
Q100,1991-12-31,3504.0
Q100,1992-03-31,3388.0
Q100,1992-06-30,3734.0
Q100,1992-09-30,3784.0
Q100,1992-12-31,3974.0
Q101,1984-03-31,3894.6
Q101,1984-06-30,4152.2
Q101,1984-09-30,3991.0
Q101,1984-12-31,4816.8
Q101,1985-03-31,3871.0
Q101,1985-06-30,4241.6
Q101,1985-09-30,4216.6
Q101,1985-12-31,5022.8
Q101,1986-03-31,4031.8
Q101,1986-06-30,4599.0
Q101,1986-09-30,4632.4
Q101,1986-12-31,5446.8
Q101,1987-03-31,4636.0
Q101,1987-06-30,5182.0
Q101,1987-09-30,5158.0
Q101,1987-12-31,5664.0
Q101,1988-03-31,7466.0
Q101,1988-06-30,7902.0
Q101,1988-09-30,8054.0
Q101,1988-12-31,8566.0
Q101,1989-03-31,8278.0
Q101,1989-06-30,8760.0
Q101,1989-09-30,8328.0
Q101,1989-12-31,9092.0
Q101,1990-03-31,7826.0
Q101,1990-06-30,8326.0
Q101,1990-09-30,8282.0
Q101,1990-12-31,9468.0
Q101,1991-03-31,7896.0
Q101,1991-06-30,8278.0
Q101,1991-09-30,8034.0
Q101,1991-12-31,8998.0
Q101,1992-03-31,7840.0
Q101,1992-06-30,8294.0
Q101,1992-09-30,8390.0
Q101,1992-12-31,9556.0
Q102,1984-03-31,3128.0
Q102,1984-06-30,3490.2
Q102,1984-09-30,3554.0
Q102,1984-12-31,3628.2
Q102,1985-03-31,3585.7
Q102,1985-06-30,3891.4
Q102,1985-09-30,3960.7
Q102,1985-12-31,3865.4
Q102,1986-03-31,3972.3
Q102,1986-06-30,4366.0
Q102,1986-09-30,4451.5
Q102,1986-12-31,4347.4
Q102,1987-03-31,4153.1
Q102,1987-06-30,4378.2
Q102,1987-09-30,4475.4
Q102,1987-12-31,4593.2
Q102,1988-03-31,4644.2
Q102,1988-06-30,4908.3
Q102,1988-09-30,5375.4
Q102,1988-12-31,5236.8
Q102,1989-03-31,5299.0
Q102,1989-06-30,5646.7
Q102,1989-09-30,5658.1
Q102,1989-12-31,5593.8
Q102,1990-03-31,5674.6
Q102,1990-06-30,5700.4
Q102,1990-09-30,5871.0
Q102,1990-12-31,5778.1
Q102,1991-03-31,5607.6
Q102,1991-06-30,6002.0
Q102,1991-09-30,6080.9
Q102,1991-12-31,5751.0
Q102,1992-03-31,5660.4
Q102,1992-06-30,5661.8
Q102,1992-09-30,5712.9
Q102,1992-12-31,5591.8
Q103,1984-03-31,1758.0
Q103,1984-06-30,1806.0
Q103,1984-09-30,1736.0
Q103,1984-12-31,1682.0
Q103,1985-03-31,1854.0
Q103,1985-06-30,1844.0
Q103,1985-09-30,1796.0
Q103,1985-12-31,1710.0
Q103,1986-03-31,1748.0
Q103,1986-06-30,1836.0
Q103,1986-09-30,1732.0
Q103,1986-12-31,1710.0
Q103,1987-03-31,1890.0
Q103,1987-06-30,1800.0
Q103,1987-09-30,1842.0
Q103,1987-12-31,1802.0
Q103,1988-03-31,1894.0
Q103,1988-06-30,1936.0
Q103,1988-09-30,1930.0
Q103,1988-12-31,1980.0
Q103,1989-03-31,1944.0
Q103,1989-06-30,2162.0
Q103,1989-09-30,1940.0
Q103,1989-12-31,1994.0
Q103,1990-03-31,2056.0
Q103,1990-06-30,2196.0
Q103,1990-09-30,2046.0
Q103,1990-12-31,1814.0
Q103,1991-03-31,1722.0
Q103,1991-06-30,1794.0
Q103,1991-09-30,1736.0
Q103,1991-12-31,1720.0
Q103,1992-03-31,1764.0
Q103,1992-06-30,2738.0
Q103,1992-09-30,1866.0
Q103,1992-12-31,2038.0
Q104,1984-03-31,3727.0
Q104,1984-06-30,4240.0
Q104,1984-09-30,4357.0
Q104,1984-12-31,4836.0
Q104,1985-03-31,4223.0
Q104,1985-06-30,3565.0
Q104,1985-09-30,3609.0
Q104,1985-12-31,4840.0
Q104,1986-03-31,4006.0
Q104,1986-06-30,3806.0
Q104,1986-09-30,5138.0
Q104,1986-12-31,5971.0
Q104,1987-03-31,5468.0
Q104,1987-06-30,5385.0
Q104,1987-09-30,5918.0
Q104,1987-12-31,6856.0
Q104,1988-03-31,5741.0
Q104,1988-06-30,264.0
Q104,1988-09-30,3607.0
Q104,1988-12-31,4398.0
Q104,1989-03-31,3437.0
Q104,1989-06-30,3852.0
Q104,1989-09-30,3768.0
Q104,1989-12-31,4432.0
Q104,1990-03-31,3557.0
Q104,1990-06-30,3341.0
Q104,1990-09-30,3423.0
Q104,1990-12-31,3778.0
Q104,1991-03-31,3037.0
Q104,1991-06-30,2750.0
Q104,1991-09-30,3439.0
Q104,1991-12-31,3990.0
Q104,1992-03-31,2652.0
Q104,1992-06-30,2800.0
Q104,1992-09-30,3133.0
Q104,1992-12-31,3850.0
Q105,1984-03-31,1234.0
Q105,1984-06-30,1194.0
Q105,1984-09-30,1412.0
Q105,1984-12-31,1620.0
Q105,1985-03-31,1144.0
Q105,1985-06-30,1518.0
Q105,1985-09-30,1470.0
Q105,1985-12-31,3742.0
Q105,1986-03-31,1326.0
Q105,1986-06-30,1742.0
Q105,1986-09-30,2288.0
Q105,1986-12-31,2386.0
Q105,1987-03-31,1850.0
Q105,1987-06-30,2310.0
Q105,1987-09-30,1876.0
Q105,1987-12-31,2618.0
Q105,1988-03-31,1720.0
Q105,1988-06-30,1752.0
Q105,1988-09-30,1822.0
Q105,1988-12-31,1972.0
Q105,1989-03-31,1394.0
Q105,1989-06-30,1878.0
Q105,1989-09-30,1564.0
Q105,1989-12-31,2126.0
Q105,1990-03-31,1532.0
Q105,1990-06-30,1818.0
Q105,1990-09-30,1470.0
Q105,1990-12-31,2052.0
Q105,1991-03-31,1640.0
Q105,1991-06-30,2660.0
Q105,1991-09-30,2122.0
Q105,1991-12-31,1846.0
Q105,1992-03-31,2170.0
Q105,1992-06-30,2486.0
Q105,1992-09-30,2364.0
Q105,1992-12-31,2642.0
Q106,1983-03-31,4805.8
Q106,1983-06-30,5478.4
Q106,1983-09-30,6084.8
Q106,1983-12-31,6847.2
Q106,1984-03-31,6674.2
Q106,1984-06-30,6404.2
Q106,1984-09-30,5710.4
Q106,1984-12-31,5990.4
Q106,1985-03-31,5874.6
Q106,1985-06-30,6376.4
Q106,1985-09-30,6505.8
Q106,1985-12-31,6602.4
Q106,1986-03-31,6265.6
Q106,1986-06-30,6304.6
Q106,1986-09-30,6271.6
Q106,1986-12-31,6645.2
Q106,1987-03-31,6857.2
Q106,1987-06-30,6993.4
Q106,1987-09-30,6614.4
Q106,1987-12-31,6829.8
Q106,1988-03-31,6172.0
Q106,1988-06-30,6853.2
Q106,1988-09-30,6121.6
Q106,1988-12-31,7141.0
Q106,1989-03-31,5813.6
Q106,1989-06-30,6296.6
Q106,1989-09-30,6047.0
Q106,1989-12-31,6170.8
Q106,1990-03-31,6234.0
Q106,1990-06-30,6407.4
Q106,1990-09-30,6024.4
Q106,1990-12-31,5911.2
Q106,1991-03-31,5895.8
Q106,1991-06-30,5476.0
Q106,1991-09-30,5183.8
Q106,1991-12-31,5763.4
Q106,1992-03-31,5592.8
Q107,1984-03-31,1618.04
Q107,1984-06-30,1784.1
Q107,1984-09-30,1868.77
Q107,1984-12-31,2738.11
Q107,1985-03-31,1818.61
Q107,1985-06-30,1964.23
Q107,1985-09-30,2071.87
Q107,1985-12-31,2938.63
Q107,1986-03-31,1886.7
Q107,1986-06-30,2041.7
Q107,1986-09-30,2215.2
Q107,1986-12-31,3115.5
Q107,1987-03-31,2153.1
Q107,1987-06-30,2306.2
Q107,1987-09-30,2538.9
Q107,1987-12-31,3679.1
Q107,1988-03-31,2543.5
Q107,1988-06-30,2693.3
Q107,1988-09-30,2867.4
Q107,1988-12-31,4099.8
Q107,1989-03-31,2826.0
Q107,1989-06-30,3097.0
Q107,1989-09-30,3236.0
Q107,1989-12-31,4485.0
Q107,1990-03-31,3007.0
Q107,1990-06-30,3242.0
Q107,1990-09-30,3625.0
Q107,1990-12-31,4865.0
Q107,1991-03-31,3349.0
Q107,1991-06-30,3562.0
Q107,1991-09-30,3955.0
Q107,1991-12-31,5249.0
Q107,1992-03-31,3719.0
Q107,1992-06-30,3967.0
Q107,1992-09-30,4340.0
Q107,1992-12-31,5901.0
Q108,1983-03-31,2660.73
Q108,1983-06-30,3728.07
Q108,1983-09-30,3111.54
Q108,1983-12-31,3697.14
Q108,1984-03-31,2289.33
Q108,1984-06-30,3390.66
Q108,1984-09-30,3066.45
Q108,1984-12-31,3435.51
Q108,1985-03-31,2103.78
Q108,1985-06-30,3070.86
Q108,1985-09-30,2919.99
Q108,1985-12-31,2454.27
Q108,1986-03-31,1435.35
Q108,1986-06-30,3430.26
Q108,1986-09-30,3585.81
Q108,1986-12-31,3952.23
Q108,1987-03-31,3136.14
Q108,1987-06-30,4349.94
Q108,1987-09-30,4164.15
Q108,1987-12-31,4444.23
Q108,1988-03-31,4116.15
Q108,1988-06-30,5744.1
Q108,1988-09-30,5800.14
Q108,1988-12-31,5998.95
Q108,1989-03-31,4920.6
Q108,1989-06-30,6352.2
Q108,1989-09-30,6159.6
Q108,1989-12-31,6192.6
Q108,1990-03-31,4313.1
Q108,1990-06-30,5775.9
Q108,1990-09-30,5369.4
Q108,1990-12-31,5707.2
Q108,1991-03-31,4355.4
Q108,1991-06-30,5577.9
Q108,1991-09-30,5260.8
Q108,1991-12-31,5688.0
Q108,1992-03-31,4270.5
Q109,1984-03-31,1631.9
Q109,1984-06-30,1670.3
Q109,1984-09-30,1747.6
Q109,1984-12-31,1778.4
Q109,1985-03-31,1818.4
Q109,1985-06-30,1870.5
Q109,1985-09-30,1931.8
Q109,1985-12-31,2023.5
Q109,1986-03-31,2106.9
Q109,1986-06-30,2136.8
Q109,1986-09-30,2181.6
Q109,1986-12-31,2243.0
Q109,1987-03-31,2333.7
Q109,1987-06-30,2326.0
Q109,1987-09-30,2365.5
Q109,1987-12-31,2454.9
Q109,1988-03-31,2861.7
Q109,1988-06-30,2757.0
Q109,1988-09-30,3014.9
Q109,1988-12-31,3326.1
Q109,1989-03-31,3169.3
Q109,1989-06-30,3108.2
Q109,1989-09-30,3313.8
Q109,1989-12-31,3567.0
Q109,1990-03-31,3449.9
Q109,1990-06-30,3288.8
Q109,1990-09-30,3528.2
Q109,1990-12-31,3868.7
Q109,1991-03-31,3686.6
Q109,1991-06-30,3475.8
Q109,1991-09-30,3624.4
Q109,1991-12-31,3958.1
Q109,1992-03-31,3852.9
Q109,1992-06-30,3639.2
Q109,1992-09-30,3725.9
Q109,1992-12-31,4125.5
Q11,1984-03-31,3762.97
Q11,1984-06-30,3799.21
Q11,1984-09-30,3901.19
Q11,1984-12-31,4009.41
Q11,1985-03-31,3950.73
Q11,1985-06-30,3898.94
Q11,1985-09-30,3976.13
Q11,1985-12-31,4012.08
Q11,1986-03-31,4052.0
Q11,1986-06-30,4071.57
Q11,1986-09-30,4145.31
Q11,1986-12-31,4113.37
Q11,1987-03-31,4142.29
Q11,1987-06-30,4159.41
Q11,1987-09-30,4246.92
Q11,1987-12-31,4255.9
Q11,1988-03-31,4366.13
Q11,1988-06-30,4373.83
Q11,1988-09-30,4460.94
Q11,1988-12-31,4445.3
Q11,1989-03-31,4463.48
Q11,1989-06-30,4563.78
Q11,1989-09-30,4632.46
Q11,1989-12-31,4771.19
Q11,1990-03-31,4813.4
Q11,1990-06-30,4924.15
Q11,1990-09-30,5007.25
Q11,1990-12-31,5041.75
Q11,1991-03-31,5094.55
Q11,1991-06-30,5130.9
Q11,1991-09-30,5173.45
Q11,1991-12-31,5235.3
Q11,1992-03-31,5228.5
Q11,1992-06-30,5258.55
Q11,1992-09-30,5395.45
Q11,1992-12-31,5475.2
Q110,1984-03-31,6200.2
Q110,1984-06-30,5496.7
Q110,1984-09-30,6827.5
Q110,1984-12-31,6457.7
Q110,1985-03-31,7130.3
Q110,1985-06-30,6512.7
Q110,1985-09-30,7223.0
Q110,1985-12-31,7015.5
Q110,1986-03-31,7488.6
Q110,1986-06-30,6913.7
Q110,1986-09-30,7380.6
Q110,1986-12-31,6909.9
Q110,1987-03-31,7085.0
Q110,1987-06-30,6882.2
Q110,1987-09-30,7871.6
Q110,1987-12-31,6728.6
Q110,1988-03-31,7517.0
Q110,1988-06-30,7218.5
Q110,1988-09-30,8679.2
Q110,1988-12-31,7607.0
Q110,1989-03-31,7901.2
Q110,1989-06-30,7584.5
Q110,1989-09-30,8617.5
Q110,1989-12-31,7927.1
Q110,1990-03-31,8155.6
Q110,1990-06-30,7962.6
Q110,1990-09-30,8934.2
Q110,1990-12-31,8015.0
Q110,1991-03-31,8647.0
Q110,1991-06-30,8865.6
Q110,1991-09-30,9704.4
Q110,1991-12-31,8698.4
Q110,1992-03-31,8958.3
Q110,1992-06-30,8649.0
Q110,1992-09-30,9115.5
Q110,1992-12-31,8858.7
Q111,1984-03-31,1184.7
Q111,1984-06-30,1324.55
Q111,1984-09-30,1561.35
Q111,1984-12-31,2520.4
Q111,1985-03-31,1692.25
Q111,1985-06-30,1847.5
Q111,1985-09-30,1987.65
Q111,1985-12-31,2776.95
Q111,1986-03-31,1934.9
Q111,1986-06-30,2132.1
Q111,1986-09-30,2300.2
Q111,1986-12-31,3248.25
Q111,1987-03-31,2180.1
Q111,1987-06-30,2479.3
Q111,1987-09-30,2794.1
Q111,1987-12-31,4000.2
Q111,1988-03-31,2707.8
Q111,1988-06-30,2885.4
Q111,1988-09-30,3143.4
Q111,1988-12-31,4540.65
Q111,1989-03-31,3115.0
Q111,1989-06-30,3281.15
Q111,1989-09-30,3768.7
Q111,1989-12-31,5632.85
Q111,1990-03-31,3853.1
Q111,1990-06-30,4037.2
Q111,1990-09-30,4524.55
Q111,1990-12-31,6254.9
Q111,1991-03-31,4607.75
Q111,1991-06-30,4555.8
Q111,1991-09-30,4954.75
Q111,1991-12-31,6804.05
Q111,1992-03-31,5380.55
Q111,1992-06-30,5081.45
Q111,1992-09-30,6043.5
Q111,1992-12-31,7910.65
Q112,1984-03-31,3496.5
Q112,1984-06-30,2996.7
Q112,1984-09-30,3397.6
Q112,1984-12-31,3131.85
Q112,1985-03-31,3635.1
Q112,1985-06-30,3041.75
Q112,1985-09-30,3600.75
Q112,1985-12-31,3282.95
Q112,1986-03-31,3821.0
Q112,1986-06-30,3425.0
Q112,1986-09-30,4123.5
Q112,1986-12-31,3988.5
Q112,1987-03-31,4180.0
Q112,1987-06-30,3755.0
Q112,1987-09-30,4580.0
Q112,1987-12-31,3821.0
Q112,1988-03-31,4023.5
Q112,1988-06-30,3834.0
Q112,1988-09-30,4619.0
Q112,1988-12-31,4244.0
Q112,1989-03-31,4629.0
Q112,1989-06-30,4254.0
Q112,1989-09-30,4918.0
Q112,1989-12-31,4698.5
Q112,1990-03-31,4314.5
Q112,1990-06-30,4175.5
Q112,1990-09-30,4999.5
Q112,1990-12-31,4173.0
Q112,1991-03-31,4521.0
Q112,1991-06-30,4506.0
Q112,1991-09-30,5319.0
Q112,1991-12-31,4582.5
Q112,1992-03-31,4721.5
Q112,1992-06-30,4373.0
Q112,1992-09-30,5386.0
Q112,1992-12-31,4475.0
Q113,1984-03-31,1893.55
Q113,1984-06-30,2089.5
Q113,1984-09-30,2355.5
Q113,1984-12-31,2733.85
Q113,1985-03-31,2216.15
Q113,1985-06-30,2284.1
Q113,1985-09-30,2647.05
Q113,1985-12-31,3044.7
Q113,1986-03-31,2461.1
Q113,1986-06-30,2504.1
Q113,1986-09-30,2804.05
Q113,1986-12-31,3398.3
Q113,1987-03-31,2552.85
Q113,1987-06-30,2873.4
Q113,1987-09-30,3122.75
Q113,1987-12-31,3865.3
Q113,1988-03-31,3191.85
Q113,1988-06-30,3290.1
Q113,1988-09-30,3508.5
Q113,1988-12-31,4401.7
Q113,1989-03-31,3538.2
Q113,1989-06-30,3611.6
Q113,1989-09-30,3972.6
Q113,1989-12-31,4489.3
Q113,1990-03-31,3622.95
Q113,1990-06-30,3798.95
Q113,1990-09-30,4491.4
Q113,1990-12-31,5576.4
Q113,1991-03-31,4340.5
Q113,1991-06-30,4639.35
Q113,1991-09-30,4902.85
Q113,1991-12-31,5691.4
Q113,1992-03-31,4690.85
Q113,1992-06-30,5034.3
Q113,1992-09-30,5193.9
Q113,1992-12-31,6046.3
Q114,1984-03-31,3087.8
Q114,1984-06-30,3108.6
Q114,1984-09-30,3034.3
Q114,1984-12-31,3654.1
