ds,unique_id,y
2008-04-01,q1,3592.55
2008-07-01,q1,6409.3403
2008-10-01,q1,10953.4928
2009-01-01,q1,4136.8453
2009-04-01,q1,3369.46
2009-07-01,q1,5446.2505
2009-10-01,q1,11832.9628
2010-01-01,q1,3622.8401
2010-04-01,q1,2975.8804
2010-07-01,q1,5835.0349
2010-10-01,q1,12658.7829
2011-01-01,q1,4359.2901
2011-04-01,q1,3524.19
2011-07-01,q1,6689.8699
2011-10-01,q1,12929.0845
2012-01-01,q1,4554.3603
2012-04-01,q1,3688.7451
2012-07-01,q1,6694.7952
2012-10-01,q1,12861.1967
2013-01-01,q1,4711.4906
2013-04-01,q1,3799.5053
2013-07-01,q1,7468.7552
2013-10-01,q1,13575.0764
2014-01-01,q1,5081.0952
2014-04-01,q1,3930.6853
2014-07-01,q1,7299.0004
2014-10-01,q1,13721.4012
2015-01-01,q1,5265.7452
2015-04-01,q1,4317.45
2015-07-01,q1,7579.5852
2015-10-01,q1,15061.6469
2016-01-01,q1,5654.8147
2016-04-01,q1,4576.86
2016-07-01,q1,8845.9037
2016-10-01,q1,16198.3437
2017-01-01,q1,6432.06
2017-04-01,q1,5432.7697
2017-07-01,q1,8864.131
2017-10-01,q1,17327.6031
2018-01-01,q1,6848.2494
2018-04-01,q1,5658.6251
2018-07-01,q1,8778.2622
2018-10-01,q1,17154.7721
2019-01-01,q1,6829.2346
2019-04-01,q1,5438.6099
2019-07-01,q1,8741.323
2019-10-01,q1,15704.7096
2020-01-01,q1,6670.9731
2020-04-01,q1,5117.5793
2020-07-01,q1,8526.838
2020-10-01,q1,16595.3848
2021-01-01,q1,7145.835
2021-04-01,q1,5465.9154
2021-07-01,q1,9303.35
2021-10-01,q1,16747.1845
2002-01-01,q10,20829.0
2002-04-01,q10,37700.0
2002-07-01,q10,24114.0
2002-10-01,q10,29504.0
2003-01-01,q10,23098.0
2003-04-01,q10,36532.0
2003-07-01,q10,26046.0
2003-10-01,q10,32513.0
2004-01-01,q10,23333.0
2004-04-01,q10,47852.0
2004-07-01,q10,33843.0
2004-10-01,q10,38837.0
2005-01-01,q10,32103.0
2005-04-01,q10,52070.0
2005-07-01,q10,35930.0
2005-10-01,q10,38609.0
2006-01-01,q10,34087.0
2006-04-01,q10,52436.0
2006-07-01,q10,36351.0
2006-10-01,q10,39261.0
2007-01-01,q10,31162.0
2007-04-01,q10,59276.0
2007-07-01,q10,36378.0
2007-10-01,q10,44080.0
2008-01-01,q10,34938.0
2008-04-01,q10,57009.0
2008-07-01,q10,39968.0
2008-10-01,q10,51608.0
2009-01-01,q10,38924.0
2009-04-01,q10,74060.0
2009-07-01,q10,53947.0
2009-10-01,q10,62636.0
2010-01-01,q10,44251.0
2010-04-01,q10,77425.0
2010-07-01,q10,55327.0
2010-10-01,q10,59360.0
2011-01-01,q10,49864.0
2011-04-01,q10,72284.0
2011-07-01,q10,62078.0
2011-10-01,q10,65472.0
2012-01-01,q10,52801.0
2012-04-01,q10,87074.0
2012-07-01,q10,73713.0
2012-10-01,q10,81430.0
2013-01-01,q10,76591.0
2013-04-01,q10,109032.0
2013-07-01,q10,109271.0
2013-10-01,q10,103294.0
2014-01-01,q10,82088.0
2014-04-01,q10,128011.0
2014-07-01,q10,67477.0
2014-10-01,q10,68254.0
2015-01-01,q10,40390.0
2015-04-01,q10,73708.0
2015-07-01,q10,50451.0
2015-10-01,q10,63192.0
2016-01-01,q10,53083.0
2016-04-01,q10,81601.0
2016-07-01,q10,64651.0
2016-10-01,q10,75252.0
2017-01-01,q10,59446.0
2017-04-01,q10,90311.0
2017-07-01,q10,65127.0
2017-10-01,q10,63576.0
2018-01-01,q10,61559.0
2018-04-01,q10,86060.0
2018-07-01,q10,66625.0
2018-10-01,q10,78861.0
2019-01-01,q10,71793.0
2019-04-01,q10,93276.0
2019-07-01,q10,78628.0
2019-10-01,q10,85907.0
2020-01-01,q10,68256.0
2020-04-01,q10,15467.0
2020-07-01,q10,71250.0
2020-10-01,q10,79287.0
2021-01-01,q10,64129.0
2021-04-01,q10,92507.0
2021-07-01,q10,83106.0
2021-10-01,q10,96931.0
1996-07-01,q100,7767.0
1996-10-01,q100,5481.0
1997-01-01,q100,5957.0
1997-04-01,q100,9579.0
1997-07-01,q100,8728.0
1997-10-01,q100,6936.0
1998-01-01,q100,7426.0
1998-04-01,q100,10303.0
1998-07-01,q100,8347.0
1998-10-01,q100,6412.0
1999-01-01,q100,7122.0
1999-04-01,q100,9899.0
1999-07-01,q100,8425.0
1999-10-01,q100,5306.0
2000-01-01,q100,6325.0
2000-04-01,q100,9998.0
2000-07-01,q100,7583.0
2000-10-01,q100,6915.0
2001-01-01,q100,6231.0
